V2Codes,Description
38D7.,Improving Access to Psychological Therapies programme inclusion and employment questionnaire
38D8.,Improving Access to Psychological Therapies programme work and social adjustment scale
38D80,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - work
38D81,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - home management
38D82,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - social leisure activities
38D83,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - private leisure activities
38D84,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - relationships
38D9.,Improving Access to Psychological Therapies programme patient experience questionnaire part 1
38DA.,Improving Access to Psychological Therapies programme patient experience questionnaire part 2
38Du.,Improving Access to Psychological Therapies programme phobia scale
38Du0,Improving Access to Psychological Therapies programme phobia scale - Social situations due to a fear of being embarrassed or making a fool of myself
38Du1,Improving Access to Psychological Therapies programme phobia scale - Certain situations because of a fear of having a panic attack or other distressing symptoms
38Du2,Improving Access to Psychological Therapies programme phobia scale - Certain situations because of a fear of particular objects or activities
8GQ..,IAPT (Improving Access to Psychological Therapies) low intensity therapy
8GR..,IAPT (Improving Access to Psychological Therapies) high intensity therapy
8Hh4.,Self-referral to IAPT (Improving Access to Psychological Therapies) programme
8HkK.,Referral to improving access to psychological therapies programme
