SNOMEDCTCodes,Description
702914003,Psychiatry clinic (environment)
310116007,Psychiatry service (qualifier value)
828821000000105,Adolescent psychiatry service (qualifier value)
310117003,Child and adolescent psychiatry service (qualifier value)
828811000000104,Child psychiatry service (qualifier value)
828281000000107,Eating disorders service (qualifier value)
310118008,Forensic psychiatry service (qualifier value)
310119000,Liaison psychiatry service (qualifier value)
310120006,Mental handicap psychiatry service (qualifier value)
1323921000000108,Neuropsychiatry service (qualifier value)
1079481000000104,Perinatal psychiatry service (qualifier value)
310121005,Psychogeriatric service (qualifier value)
310122003,Rehabilitation psychiatry service (qualifier value)
247261000000109,In-house psychiatry (procedure)
248961000000103,In-house psychiatry discharge (procedure)
248951000000101,In-house psychiatry first appointment (procedure)
248971000000105,In-house psychiatry follow-up appointment (procedure)
183746005,Psychiatry domiciliary visit done (finding)
185232008,Seen in psychiatry clinic (finding)
441828004,Seen in child and adolescent psychiatry clinic (finding)
305865005,Seen by psychiatry service (finding)
305866006,Seen by child and adolescent psychiatry service (finding)
305867002,Seen by forensic psychiatry service (finding)
305868007,Seen by liaison psychiatry service (finding)
305869004,Seen by mental handicap psychiatry service (finding)
305870003,Seen by psychogeriatric service (finding)
305871004,Seen by rehabilitation psychiatry service (finding)
306234003,Referral for mental illness domiciliary visit (procedure)
773449002,Old age psychiatry care plan (record artifact)
183524004,Referral to psychiatry service (procedure)
61801003,Patient referral for psychiatric aftercare (procedure)
183690008,Psychiatric self-referral (procedure)
416422002,Referral for bipolar disorder (procedure)
416194003,Referral for neuropsychological testing (procedure)
306134009,Referral to child and adolescent psychiatry service (procedure)
306135005,Referral to forensic psychiatry service (procedure)
413127007,Referral to learning disability team (procedure)
306136006,Referral to liaison psychiatry service (procedure)
306137002,Referral to mental handicap psychiatry service (procedure)
306138007,Referral to psychogeriatric service (procedure)
199191000000109,Referral to psychosis early intervention service (procedure)
306139004,Referral to rehabilitation psychiatry service (procedure)
305908005,Seen in psychiatry day hospital (finding)
305400006,Admission to psychiatry department (procedure)
305401005,Admission to child and adolescent psychiatry department (procedure)
305402003,Admission to forensic psychiatry department (procedure)
305404002,Admission to mental handicap psychiatry department (procedure)
163781000000106,Admission to mental health specialist services (procedure)
305403008,Admission to psychogeriatric department (procedure)
183508000,Non-urgent psychogeriatric admission (procedure)
305405001,Admission to rehabilitation psychiatry department (procedure)
183489008,Non-urgent psychiatric admission (procedure)
306679007,Discharge from psychogeriatric day hospital (procedure)
306203002,Referral to psychiatry day hospital (procedure)
874081000000109,Seen by core psychiatry trainee doctor (finding)
1078821000000105,Emergency hospital admission to child and adolescent psychiatry service (procedure)
1079261000000109,Emergency hospital admission to perinatal psychiatry service (procedure)
1078721000000103,Emergency hospital admission to forensic psychiatry service (procedure)
405777008,Psychiatric in-patient (finding)
342671000000105,Acute psychiatric in-patient (finding)
440199008,Long term psychiatric inpatient (finding)
440402001,Short term psychiatric in-patient (finding)
182790007,Psychiatric monitoring (regime/therapy)
182791006,Psychiatric observation (regime/therapy)
170677006,Psychiatric disorder monitoring (regime/therapy)
170680007,Follow-up psychiatric assessment (regime/therapy)
170679009,Initial psychiatric assessment (regime/therapy)
308477009,Referral to psychiatrist (procedure)
183904005,Private referral to psychiatrist (procedure)
306291008,Referral to child and adolescent psychiatrist (procedure)
306292001,Referral to forensic psychiatrist (procedure)
306293006,Referral to liaison psychiatrist (procedure)
306294000,Referral to psychiatrist for mental handicap (procedure)
183528001,Referral to psychiatrist for the elderly mentally ill (procedure)
306295004,Referral to rehabilitation psychiatrist (procedure)
7133001,Psychiatric day care by day (procedure)
305697008,Seen by psychogeriatrician (finding)
165171009,Initial psychiatric evaluation (procedure)
354721000000107,Urgent referral to psychiatrist (procedure)
860111000000102,Seen by consultant psychiatrist (finding)
165172002,Diagnostic psychiatric interview (procedure)
88848003,Psychiatric follow-up (procedure)
305747003,Seen by psychiatric nurse (finding)
108311000,"Psychiatric procedure, interview AND/OR consultation (procedure)"
11149009,Comprehensive report of psychiatric patient for third party (procedure)
91481002,Environmental intervention on a psychiatric patient's behalf with agencies (procedure)
91425008,Environmental intervention on a psychiatric patient's behalf with employers (procedure)
26829003,Environmental intervention on a psychiatric patient's behalf with institutions (procedure)
90407005,Evaluation of psychiatric state of patient (procedure)
165190001,Psychiatric evaluation for rehabilitation (procedure)
63002004,Initial psychiatric interview with data recording by aide or social worker (procedure)
68338001,Interactive medical psychiatric diagnostic interview (procedure)
24621000,Interpretation of results of psychiatric examinations and data (procedure)
113141001,Legal testimony of psychiatric state of patient (procedure)
83474000,Psychiatric commitment procedure (procedure)
59585002,Psychiatric commitment to psychiatric institution (procedure)
38756009,Psychiatric evaluation of patient for criminal responsibility with report (procedure)
10997001,Psychiatric evaluation of patient for testimentary capacity with report (procedure)
2619005,Psychiatric interpretation to family or parents of patient (procedure)
10197000,Psychiatric interview and evaluation (procedure)
79094001,Initial psychiatric interview with mental status and evaluation (procedure)
171423009,Mental Health Act examination (procedure)
171425002,Section examination - approved doctor (procedure)
171424003,Section examination - patient's GP (procedure)
171426001,Section examination - social worker (procedure)
305693007,Seen by psychiatrist (finding)
305694001,Seen by child and adolescent psychiatrist (finding)
305695000,Seen by forensic psychiatrist (finding)
305696004,Seen by liaison psychiatrist (finding)
305698003,Seen by psychiatrist for mental handicap (finding)
305985005,Referral by psychiatrist (procedure)
305986006,Referral by child and adolescent psychiatrist (procedure)
305987002,Referral by forensic psychiatrist (procedure)
305988007,Referral by liaison psychiatrist (procedure)
305990008,Referral by psychiatrist for mental handicap (procedure)
305989004,Referral by psychogeriatrician (procedure)
305991007,Referral by rehabilitation psychiatrist (procedure)
305285001,Admission by psychiatrist (procedure)
305286000,Admission by child and adolescent psychiatrist (procedure)
305287009,Admission by forensic psychiatrist (procedure)
305288004,Admission by liaison psychiatrist (procedure)
305290003,Admission by psychiatrist for mental handicap (procedure)
305289007,Admission by psychogeriatrician (procedure)
305291004,Admission by rehabilitation psychiatrist (procedure)
773705000,Discussed with psychiatrist (situation)
773448005,Psychiatric intensive care plan (record artifact)
183776003,Listed for Psychiatric admission (finding)
791601000000101,Under care of psychiatric service (finding)
284064001,Brief psychiatric rating scale - 1962 (assessment scale)
273539007,IOWA structured psychiatric interview (assessment scale)
183584001,Referral to community psychiatric nurse (procedure)
65201004,Supervision of psychiatric therapist or aide (procedure)
824241000000109,Liaison with community psychiatric nurse (procedure)
113140000,Psychiatric pre-commitment interview and report (procedure)
42137004,Reevaluation of established psychiatric patient (procedure)
66652003,"Psychiatric interview, continuation or follow-up (procedure)"
342002,Amobarbital interview (procedure)
25621005,Daily full psychiatric care of inpatient (procedure)
19788004,Psychiatric interview of family of patient (procedure)
15711005,"Regular psychiatric visit, routine, established patient (procedure)"
76740001,Psychiatric telephone consultation or therapy with patient (procedure)
392258002,Assessment of mental status by psychiatrist (procedure)
865965008,Psychiatric Research Interview for Substance and Mental Disorders (assessment scale)
273504007,Lorr's modified multidimensional scale for rating psychiatric patients (assessment scale)
1084561000000102,Admission to psychiatric inpatient unit gate kept by Crisis Resolution and Home Treatment team (finding)
395661000000100,Emergency psychiatric admission under Mental Health Act 1983 (England and Wales) (procedure)
391281002,Mental health assessment (procedure)
869561000000101,Assessment for dementia (procedure)
703257008,Assessment of cause of psychotic and behavioral symptoms (procedure)
723559001,Assessment of perinatal mental health (procedure)
713137006,Assessment of stress level (procedure)
870601000000104,Follow-up child and adolescent mental health service assessment (procedure)
872311000000108,Initial child and adolescent mental health service assessment (procedure)
888901000000102,Initial memory assessment (procedure)
405783006,Psychological assessment (procedure)
723641005,Assessment using Historical Clinical Risk management-20 violence risk assessment scheme version 3 (procedure)
445040008,"Assessment using historical, clinical, risk management 20 assessing risk for violence scheme version 2 (procedure)"
445415008,Assessment using social phobia inventory (procedure)
936031000000106,Psychological wellbeing assessment (procedure)
163801000000107,ÿSpecialist mental health assessment (procedure)
886981000000106,Mental capacity assessment (record artifact)
410223002,Mental health care assessment (procedure)
410226005,Mental health promotion assessment (procedure)
268391007,Disability assessment - mental (observable entity)
272051008,Memory assessment (observable entity)
18301000000102,Mental health assessment status (finding)
390810009,Planned mental health assessment (procedure)
391041001,Planned mental health assessment - 24 hour not intensive (procedure)
391042008,Planned mental health assessment - Full day : day care (procedure)
391043003,Planned mental health assessment - Part day : day care (procedure)
410232000,Mental health treatment assessment (procedure)
390809004,Emergency mental health assessment (procedure)
391035008,Emergency mental health assessment - 24 hour intensive (procedure)
391036009,Emergency mental health assessment - 24 hour not intensive (procedure)
391054008,Emergency mental health assessment - Daily intensive (procedure)
391038005,Emergency mental health assessment - Part day : day care (procedure)
165314000,Mental disability assessment score (observable entity)
165315004,Mental disability admission score (observable entity)
165317007,Mental disability discharge score (observable entity)
165319005,Mental disability domiciliary visit score (observable entity)
165316003,Mental disability in-patient score (observable entity)
165318002,Mental disability outpatient score (observable entity)
410229003,Mental health screening assessment (procedure)
273602004,Mental test score (assessment scale)
273603009,Mental test score - long version (assessment scale)
202291000000107,Referral for mental health assessment (procedure)
763253003,Mental health risk indicator assessment (procedure)
385887004,Mental health history taking assessment (procedure)
1065991000000100,Referred by mental health assessment team (finding)
273611004,Middlesex elderly assessment of mental state (assessment scale)
273601006,Mental status questionnaire (assessment scale)
446971008,Assessment using mini-mental state examination (procedure)
273255001,Abbreviated Mental Test Score (assessment scale)
273617000,Mini-mental state examination (assessment scale)
273619002,Modified mini-mental state examination (assessment scale)
718913008,Comprehensive Assessment of At-Risk Mental States (assessment scale)
788587000,Assessment using Griffith Mental Development Scale (procedure)
304745004,Mental adjustment to cancer scale (assessment scale)
1084631000000108,Assessment using Abbreviated Mental Test Score (procedure)
273483001,Glasgow abbreviated mental test score (assessment scale)
312991000000108,Mental Health Act Assessment Outside Specialist Services - FocusActOrEvent (record artifact)
991461000000106,Mental health assessment procedures simple reference set (foundation metadata concept)
718425001,Assessment using Warwick-Edinburgh Mental Well-being Scale (procedure)
313001000000107,Update to Mental Health Act Assessment Non-Specialist Services - FocusActOrEvent (record artifact)
748501000000103,Middlesex elderly assessment of mental state score (observable entity)
12101000000102,Assessment under the Mental Health Act 1983 (England and Wales) (procedure)
981241000000105,Assessment by Approved Mental Health Professional under the Mental Health Act 1983 (England and Wales) (procedure)
12111000000100,Assessment for admission to hospital for assessment under Section 2 of the Mental Health Act 1983 (England and Wales) (procedure)
12121000000106,Assessment for admission to hospital for treatment under Section 3 of the Mental Health Act 1983 (England and Wales) (procedure)
12231000000100,Assessment for admission to hospital of pretrial prisoner under Section 48 of the Mental Health Act 1983 (England and Wales) (procedure)
