CTV3Codes,Description
69F2.,"""Section"" examination - approved doctor"
8G43.,Rehabilitatio for disabling psychiatric problem
8H23.,Admit psychiatric emergency
8H230,Emerg psychiatric admiss MHA
8H34.,Psychiatric day care
8H38.,Non-urgent psychiatric admisn.
8H3Q.,Non urgent psychogeriatric admission
8H49.,Psychiatric referral
8H4D.,Referral to psychogeriatrician
8H4P.,Referral to child psychiatrist
8H7B.,Referral to CPN
8HHR.,Referral to child and adolescent psychiatry service
8HJ3.,Psychiatric self-referral
8HlB.,Urgent referral to psychiatrist
8HlD.,Referral to forensic psychiatrist
8HM9.,Listed for Psychiatric admissn
8HV0.,Private referral to psychiatrist
8HVO.,Private referral to psychiatrist
8HVS.,Private referral to psychogeriatrian
9H4..,Section 2 form - compulsary admission for assessment
9H5..,Section 3 form - compulsary admission for treatment
9N1T.,Seen in psychiatry clinic
9N2E2,Seen by core psychiatry trainee doctor
9NI6.,Psychiatric outreach clinic
9NJb.,In-house psychiatry first appointment
9NJc.,In-house psychiatry discharge
9NJd.,In-house psychiatry follow-up appointment
9Nla.,Seen by psychiatrist
9Nla0,Seen by child and adolescent psychiatrist
9Nla1,Seen by consultant psychiatrist
9NlG.,Seen by forensic psychiatrist
9NN5.,Under care of psychiatrist
9No0.,Seen in child and adolescent psychiatry clinic
Xa9Ef,MHRT referral under MHA 1983
Xa9IX,Assessment for adm to hosp for assessm Section 2 MHA 1983
Xa9IY,Assessment for adm to hosp for treatment Section 3 MHA 1983
Xa9IZ,Assessment for emerg adm to hosp under Section 4 MHA 1983
Xa9Jb,Completion of form relating to MHA 1983
Xa9Jd,Completion of MHA 1983 form 2
Xa9Jf,Completion of MHA 1983 form 3
Xa9Jh,Completion of MHA 1983 form 4
Xa9Jj,Completion of MHA 1983 form 7
Xa9Jn,Completion of MHA 1983 form 10
Xa9Jp,Completion of MHA 1983 form 12
Xa9Jq,Completion of MHA 1983 form 38
Xa9Jr,Completion of MHA 1983 form 39
Xa9Js,Completion of MHA 1983 form 117
Xa9Jt,Completion of MHA 1983 form 62
Xa9lb,Assessment for detention in hospital under Sect 5 MHA 1983
Xa9lc,Assessment for detent in hosp using nurses holding power S5(4) MHA 1983
Xa9ld,Assessment for detent in hosp Section 5(2) MHA 1983
Xa9le,Assessment for admiss to hosp on remand for reprt S35 MHA 9183
Xa9lf,Assessment for adm to hsp for remd for treatm S36 MHA 1988
Xa9lg,Assessment for adm to hsp on hsp order S37 MHA 1983
Xa9lh,Assessment for adm to hsp on interm hsp ordr Sect 38 MHA 1983
Xa9li,Assessm for adm to hsp under comm by mag court Sect 44 MHA 1983
Xa9lj,Assessment for adm to hsp subj armd forc disc proc S46 Mha 1983
Xa9lk,Assessm for adm to hsp of pretrial prisoner Sect 48 MHA 1983
Xa9ll,Assessm for adm to hsp for sentanced prisnr Sect 47 MHA 1983
XaAaG,Referral by psychiatrist
XaAaH,Referral by child and adolescent psychiatrist
XaAaI,Referral by forensic psychiatrist
XaAaJ,Referral by liaision psychiatrist
XaAaK,Referral by psychogeriatrician
XaAaL,Referral by psychiatrist for mental handicap
XaAaM,Referral by rehabilitation psychiatrist
XaAcy,Referral to child and adolescent psychiatry sercice
XaAcz,Referral to forensic psychiatry service
XaAd0,Referral to liasion psychiatry service
XaAd1,Referral to mental handicap psychiatry service
XaAd2,Referral to psychogeriatric service
XaAd3,Referral to rehabilitation psychiatry service
XaAeL,Referral to psychiatry day hospital
XaAgA,Referral to child and adolescent psychiatrist
XaAgB,Referral to forensic psychiatrist
XaAgC,Referral to liaision psychiatrist
XaAgE,Referral to learning disabilities psychiatrist
XaAgF,Referral to rehabilitation psychiatrist
