CTV3Codes,Description
8H43.,Dermatological referral
XaZJ0,Referral to teledermatology service
XaXsX,Referral to community dermatology service
8HJD.,Dermatology self-referral
XaBTS,Referral to dermatologist
8HVI.,Private referral to dermatologist
Xaaln,Internal practice dermatology referral
XaKCB,Referral to dermatology nurse specialist
Xaacp,Referral to paediatric dermatology service
XaAeq,Referral for dermatology domiciliary visit
XaLqL,Referral to dermatology special interest general practitioner
XaQKh,Referral to dermatology clinical assessment service
8HK3.,Dermatology D.V. requested
XaAeq,Referral for dermatology DV
