V2Codes,Description
8HJD.,Dermatology self-referral
8H43.,Dermatological referral
8H4S.,Referral to dermatology special interest general practitioner
8HHX.,Referral to dermatology nurse specialist
8HTu.,Referral to eczema clinic
8HVI.,Private referral to dermatologist
8Hkq.,Referral to community dermatology service
8Hm0.,Referral to dermatology clinical assessment service
8HM3.,Listed for Dermatology admissn
8H3I.,Non-urgent dermatology admisn.
8HlJ4,Internal practice dermatology referral
8T0D.,Referral to paediatric dermatology service
