MedCodeID,Description
283598012,Dermatological referral
4724201000006112,Referral to dermatology service
283852019,Dermatology self-referral
283867015,Dermatology D.V. requested
4725981000006113,Dermatology domiciliary visit requested
284110017,Private referral to dermatologist
1561621000006116,Referral to dermatology special interest general practitioner
5953351000006117,Referral for dermatology DV
5953341000006119,Referral for dermatology domiciliary visit
451825013,Referral to dermatologist
2533379011,Referral to dermatology nurse specialist
2548477010,Referral to paediatric dermatology service
6886981000006117,Referral to pediatric dermatology service
6890061000006111,Referral to pediatric service for acne
6890051000006114,Referral to paediatric service for acne
1120171000000114,Referral to dermatology clinical assessment service
1137101000000119,Referral to eczema clinic
1757131000000116,Referral to community dermatology service
2171371000000116,Referral to teledermatology service
2297371000000119,Internal practice dermatology referral
586951000006112,Non-urgent dermatology admission
283963017,Listed for Dermatology admission
