V2Codes,Description
Eu9y7,[X]Attention deficit disorder
E2E0.,Child attention deficit disorder
E2E00,Attention deficit without hyperactivity
E2E01,Attention deficit with hyperactivity
E2E0z,Child attention deficit disorder NOS
9Ol8.,Attention deficit hyperactivity disorder monitoring invitation first letter
9OlA.,Attention deficit hyperactivity disorder monitoring invitation third letter
9Ol9.,Attention deficit hyperactivity disorder monitoring invitation second letter
Eu900,[X]Attention deficit hyperactivity disorder
6A61.,Attention deficit hyperactivity disorder annual review
8BPT.,Drug therapy for ADHD (attention deficit hyperactivity disorder)
8BPT0,Stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
8BPT1,Non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
