SNOMEDCTCodes,Description
35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)"
698689005,"Attention deficit hyperactivity disorder, predominantly inattentive type in remission (disorder)"
192127007,Child attention deficit disorder (disorder)
444613000,Adult attention deficit hyperactivity disorder (disorder)
406506008,Attention deficit hyperactivity disorder (disorder)
31177006,"Attention deficit hyperactivity disorder, combined type (disorder)"
702815001,"Attention deficit hyperactivity disorder, inattentive presentation (restrictive) (disorder)"
7461003,"Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type (disorder)"
698692009,"Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type in remission (disorder)"
229715008,Deficits in attention motor control and perception (disorder)
23148009,Undifferentiated attention deficit disorder (disorder)
710071000000106,Attention deficit hyperactivity disorder annual review (procedure)
117431000119101,Long term current use of drug therapy for attention deficit hyperactivity disorder (situation)
516401000000106,Attention deficit hyperactivity disorder monitoring invitation first letter (procedure)
516891000000101,Attention deficit hyperactivity disorder monitoring invitation second letter (procedure)
516911000000103,Attention deficit hyperactivity disorder monitoring invitation third letter (procedure)
886411000000109,On non-stimulant drug therapy for attention deficit hyperactivity disorder (situation)
703314001,Non-stimulant drug therapy for attention deficit hyperactivity disorder (procedure)
886391000000109,On stimulant drug therapy for attention deficit hyperactivity disorder (situation)
702538008,Drug therapy for attention deficit hyperactivity disorder (procedure)
886371000000105,On drug therapy for attention deficit hyperactivity disorder (situation)
702536007,Stimulant drug therapy for attention deficit hyperactivity disorder (procedure)
769390009,World Health Organization Adult Attention-Deficit Hyperactivity Disorder Self-Report Scale (assessment scale)
