V2Codes,Description
E29..,Adjustment reaction
E290.,Brief depressive reaction
E2900,Grief reaction
E290z,Brief depressive reaction NOS
E291.,Prolonged depressive reaction
E292.,Adjustment reaction with predominant disturbance of other emotions
E2924,Adjustment reaction with anxious mood
E292y,Adjustment reaction with mixed disturbance of emotion
E292z,Adjustment reaction with disturbance of other emotion NOS
E293.,Adjustment reaction with predominant disturbance of conduct
E2930,Adjustment reaction with aggression
E2931,Adjustment reaction with antisocial behaviour
E2932,Adjustment reaction with destructiveness
E293z,Adjustment reaction with predominant disturbance of conduct NOS
E294.,Adjustment reaction with mixed disturbance of emotion and conduct
E29y.,Other adjustment reactions
E29y2,Adjustment reaction with physical symptoms
E29y3,Elective mutism due to an adjustment reaction
E29y5,Other adjustment reaction with withdrawal
E29yz,Other adjustment reactions NOS
E29z.,Adjustment reaction NOS
