CTV3Codes,Description
XE0Y5,Allergic rhinitis
Xa0lX,Seasonal allergic rhinitis
XE2QI,Allergic rhinitis due to pollens
Hyu20,[X]Other seasonal allergic rhinitis
X00l8,Hay fever - other allergen
X00l9,Hay fever - unspecified allergen
X1020,Hay fever with asthma
X00lA,Perennial allergic rhinitis
X00lB,Perennial allergic rhinitis with seasonal variation
H17z.,Allergic rhinitis NOS
Hyu21,[X]Other allergic rhinitis
XE0Y6,Allergic rhinitis due to other allergens
XE0Y7,Allergic rhinitis due to unspecified allergen
14B1.,H/O: hay fever
