MedCodeID,Description
9310171000006113,Allergic rhinitis caused by feathers
9310191000006114,Allergic rhinitis caused by insects
9310211000006110,Allergic rhinitis caused by mold
9310201000006112,Allergic rhinitis caused by mould
9314961000006112,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis
9315141000006112,Severe persistent asthma controlled co-occurrent with allergic rhinitis
9315231000006113,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis
9315281000006114,Mild persistent asthma controlled co-occurrent with allergic rhinitis
9315391000006118,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis
9315441000006119,Moderate persistent asthma uncontrolled co-occurrent with allergic rhinitis
8038931000006119,Severe persistent asthma co-occurrent with allergic rhinitis
8038941000006112,Moderate persistent asthma co-occurrent with allergic rhinitis
8038961000006111,Mild persistent asthma co-occurrent with allergic rhinitis
8038971000006116,Intermittent asthma co-occurrent with allergic rhinitis
8048311000006110,Allergic rhinitis caused by animal hair and dander
8048301000006112,Allergic rhinitis due to animal hair and dander
4540731000006116,History of hay fever
251711015,H/O: hay fever
481104016,Allergic rhinitis due to pollens
2845661000006115,Hayfever
817341000006110,Hay fever - pollens
481105015,Hay fever
2845681000006113,Allergic rhinitis caused by pollen
36447011,Pollinosis
348109017,Allergic rhinitis due to pollen
2845671000006110,Allergic rhinitis caused by pollens
348110010,Hay fever
5028421000006119,Hay fever conjunctivitis
5035041000006113,NINA - Non-infective non-allergic rhinitis
5035031000006115,Non-infective non-allergic rhinitis
5035141000006112,Perennial allergic rhinitis with seasonal variation
817361000006114,Hay fever with asthma
350153016,Hay fever with asthma
7965251000006116,Non-allergic rhinitis
6298141000006118,Hay fever
492457012,Seasonal allergic rhinitis
301823011,Seasonal allergic rhinitis
6298131000006111,Spasmodic rhinorrhoea
6298121000006113,Spasmodic rhinorrhea
6681381000006118,Congestive non-allergic rhinitis
7099691000006116,Allergic rhinitis caused by animal dander
7099681000006119,Allergic rhinitis due to animal dander
7257881000006113,Allergic rhinitis due to food
7319111000006115,Nonseasonal allergic rhinitis
224001000000114,Perennial allergic rhinitis
7374151000006114,Allergic rhinitis caused by house dust mite
7374131000006119,Allergic rhinitis due to house dust mite
7374141000006112,House dust mite rhinitis
301268012,Allergic rhinitis NOS
477701000006111,Allergic rhinosinusitis
933361000006117,Hay fever
396098013,Allergic rhinitis due to allergen
102311013,Allergic rhinitis
3500471000006116,AR - Allergic rhinitis
301824017,[X]Other allergic rhinitis
396097015,Allergic rhinitis due to other allergens
3500481000006118,Atopic rhinitis
7583671000006117,Allergic rhinitis caused by Dermatophagoides farinae
7583661000006112,Dermatophagoides farinae allergic rhinitis
7583651000006110,Allergic rhinitis due to Dermatophagoides farinae
7584251000006114,Allergic rhinitis due to Dermatophagoides pteronyssinus
7584261000006111,Dermatophagoides pteronyssinus allergic rhinitis
7584271000006116,Allergic rhinitis caused by Dermatophagoides pteronyssinus
3994091000006113,Allergic rhinitis due to animals
3994101000006119,Allergic rhinitis caused by animals
3994111000006116,Allergic rhinitis due to grass pollen
3994121000006112,Allergic rhinitis caused by grass pollen
3994131000006110,Allergic rhinitis due to tree pollen
3994141000006117,Allergic rhinitis caused by tree pollen
3994151000006115,Allergic rhinitis due to weed pollen
3994161000006118,Allergic rhinitis caused by weed pollen
4020761000006112,Eosinophilic non-allergic rhinitis
4020751000006110,Eosinophilic nonallergic rhinitis
4020771000006117,NARES - Non-allergic rhinitis with eosinophilia
4020781000006119,Non-allergic rhinitis with eosinophilia
8031201000006110,Acute exacerbation of asthma co-occurrent with allergic rhinitis
