MedCodeID,Description
2813721000006114,Total alopecia areata
33266015,Alopecia totalis
6679371000006110,Circumscribed alopecia areata of scalp
6679381000006113,Circumscribed alopecia areata of eyelashes/eyebrows
6679391000006111,Circumscribed alopecia areata of beard area
6679401000006113,Circumscribed alopecia areata of limbs
6679411000006111,Circumscribed alopecia areata of trunk
6679511000006112,Chronic diffuse alopecia
3252351000006117,Diffuse alopecia areata
10759012,Ophiasis
717951000006113,Marginal alopecia
2593021000006114,Ophiasic alopecia areata
44741000006112,Ophiasis
113328010,Alopecia areata
3609961000006118,Alopecia circumscripta
309354017,[X]Other alopecia areata
3609991000006114,AA - Alopecia areata
3609981000006111,Circumscribed alopecia
3609971000006113,Patchy loss of hair
3758291000006112,Concentric alopecia areata
3900871000006113,Universal alopecia areata
142888018,Alopecia universalis
