V2Codes,Description
G6400,Cerebral infarction due to thrombosis of cerebral arteries
G30..,Thrombosis - coronary
J420.,Mesenteric thrombosis
J4201,Thrombus of the superior mesenteric artery
G74..,Thrombosis - arterial
G740.,Embolism and thrombosis of the abdominal aorta
G741.,Embolism and thrombosis of the thoracic aorta
G742.,Embolism and thrombosis of an arm or leg artery
G7420,Embolism and thrombosis of the brachial artery
G7421,Embolism and thrombosis of the radial artery
G7422,Embolism and thrombosis of the ulnar artery
G7423,Embolism and thrombosis of an arm artery NOS
G7424,Embolism and thrombosis of the femoral artery
G7425,Embolism and thrombosis of the popliteal artery
G7426,Embolism and thrombosis of the anterior tibial artery
G7427,Embolism and thrombosis of the dorsalis pedis artery
G7428,Embolism and thrombosis of the posterior tibial artery
G7429,Embolism and thrombosis of a leg artery NOS
G742z,Peripheral arterial embolism and thrombosis NOS
G743.,Embolism and thrombosis of other and unspecified parts of aorta
G74y.,Embolism and thrombosis of other specified artery
G74y0,Embolism and/or thrombosis of the common iliac artery
G74y1,Embolism and/or thrombosis of the internal iliac artery
G74y2,Embolism and/or thrombosis of the external iliac artery
G74y3,Embolism and thrombosis of the iliac artery unspecified
G74y5,Embolism and thrombosis of the subclavian artery
G74y6,Embolism and thrombosis of the splenic artery
G74y7,Embolism and thrombosis of the axillary artery
G74y8,Embolism and thrombosis of the coeliac artery
7A547,Percutaneous transluminal thrombolysis of artery
G74y9,Embolism and thrombosis of the hepatic artery
G74yz,Embolism and thrombosis of other arteries NOS
G74z.,Arterial embolism and thrombosis NOS
K1382,Renal artery thrombosis
G631.,"Thrombosis, carotid artery"
K1384,Renal artery stent thrombosis
F1615,Anterior spinal artery thrombosis
SP07M,Thrombosis of renal artery bypass graft
SP08Z,Thrombosis of artery of transplanted kidney
F1611,Myelopathy due to arterial thrombosis of spinal cord
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
7A4A2,Open thrombectomy of femoral artery
7A4A3,Open thrombectomy of popliteal artery
