SNOMEDCTCodes,Description
65198009,Arterial thrombosis (disorder)
1204218005,Acute occlusion of artery due to thrombosis (disorder)
1204220008,Acute occlusion of aortic bifurcation due to thrombosis (disorder)
723871004,Acute occlusion of aortoiliac artery due to thrombosis (disorder)
1279832006,Acute occlusion of peripheral artery due to thrombosis (disorder)
723872006,Acute occlusion of artery of lower limb due to thrombosis (disorder)
1204186006,Acute occlusion of common femoral artery due to thrombosis (disorder)
1204184009,Acute occlusion of crural artery due to thrombosis (disorder)
1204181001,Acute occlusion of popliteal artery due to thrombosis (disorder)
1204198001,Acute occlusion of superficial femoral artery due to thrombosis (disorder)
1204216009,Acute occlusion of axillary artery due to thrombosis (disorder)
1204212006,Acute occlusion of brachial artery due to thrombosis (disorder)
1204182008,Acute occlusion of iliac artery due to thrombosis (disorder)
1204180000,Acute occlusion of renal artery due to thrombosis (disorder)
1204178006,Acute occlusion of subclavian artery due to thrombosis (disorder)
1204196002,Acute occlusion of visceral artery due to thrombosis (disorder)
230740003,Anterior spinal artery thrombosis (disorder)
266262004,Arterial embolus and thrombosis (disorder)
1204217000,Acute occlusion of artery due to thromboembolus (disorder)
1204219002,Acute occlusion of aortic bifurcation due to thromboembolus (disorder)
723869004,Acute occlusion of aortoiliac artery co-occurrent and due to thromboembolus (disorder)
723870003,Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus (disorder)
1204213001,Acute occlusion of common femoral artery due to thromboembolus (disorder)
1204187002,Acute occlusion of crural artery due to thromboembolus (disorder)
1204183003,Acute occlusion of popliteal artery due to thromboembolus (disorder)
1204197006,Acute occlusion of superficial femoral artery due to thromboembolus (disorder)
1204215008,Acute occlusion of axillary artery due to thromboembolus (disorder)
1204214007,Acute occlusion of brachial artery due to thromboembolus (disorder)
1204185005,Acute occlusion of iliac artery due to thromboembolus (disorder)
1204177001,Acute occlusion of subclavian artery due to thromboembolus (disorder)
1204195003,Acute occlusion of visceral artery due to thromboembolus (disorder)
1204179003,Acute occlusion of renal artery due to thromboembolus (disorder)
274101000,Aortic thromboembolism (disorder)
266263009,Embolism and thrombosis of the abdominal aorta (disorder)
195317001,Embolism and thrombosis of the thoracic aorta (disorder)
42878004,Thrombosis of thoracic aorta (disorder)
84272007,Thrombosis of abdominal aorta (disorder)
233976008,Aortic bifurcation thrombosis (disorder)
723875008,Arterial obstruction due to thrombotic embolism from aneurysm of artery (disorder)
