SNOMEDCTCodes,Description
35919005,Pervasive developmental disorder (disorder)
442314000,Active but odd autism (disorder)
766824003,"Activity dependent neuroprotector homeobox related multiple congenital anomalies, intellectual disability, autism spectrum disorder (disorder)"
23560001,Asperger's disorder (disorder)
708037001,Residual Asperger's disorder (disorder)
231536004,Atypical autism (disorder)
771512003,Autism spectrum disorder due to AUTS2 activator of transcription and developmental regulator deficiency (disorder)
733623005,"Autism spectrum disorder, epilepsy, arthrogryposis syndrome (disorder)"
43614003,Autistic disorder of childhood onset (disorder)
771448004,Autism epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency (disorder)
770790004,Developmental delay with autism spectrum disorder and gait instability (disorder)
373618009,Autistic spectrum disorder with isolated skills (disorder)
702732007,High-functioning autism (disorder)
408857007,Infantile autism (disorder)
191689008,Active infantile autism (disorder)
191690004,Residual infantile autism (disorder)
783089006,"Macrocephaly, intellectual disability, autism syndrome (disorder)"
39951000119105,Pervasive developmental disorder of residual state (disorder)
870307006,Pervasive developmental disorder with abscence of functional language (disorder)
870308001,Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language (disorder)
870305003,Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language (disorder)
870306002,Pervasive developmental disorder with complete impairment of functional language (disorder)
870303005,Pervasive developmental disorder with complete impairment of functional language with loss of previously acquired skills (disorder)
870304004,Pervasive developmental disorder with complete impairment of functional language without loss of previously acquired skills (disorder)
870269009,Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills (disorder)
870282001,Pervasive developmental disorder with severe impairment of functional language without loss of previously acquired skills (disorder)
870280009,Pervasive developmental disorder with severe impairment of functional language with loss of previously acquired skills (disorder)
870261007,Pervasive developmental disorder with marked impairment of functional language without loss of previously acquired skills (disorder)
870260008,Pervasive developmental disorder with marked impairment of functional language with loss of previously acquired skills (disorder)
870263005,Pervasive developmental disorder with impairment of functional language (disorder)
870262000,Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills (disorder)
870265003,Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills (disorder)
870264004,Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills (disorder)
870267006,Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills (disorder)
870266002,Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills (disorder)
870268001,Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills (disorder)
870270005,Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills (disorder)
912551000000100,Under care of autism assessment service (finding)
1065881000000109,Pre-school Autism Communication Therapy (regime/therapy)
1062461000000106,Autistic Spectrum Disorder Therapy Outcome Measure wellbeing score (observable entity)
