MedCodeID,Description
8454421000006114,Primary basal cell carcinoma of left upper limb
8454561000006119,Primary basal cell carcinoma of right eyelid
1770491000006115,"Basal cell carcinoma, nodular"
2519741000006118,Basal cell epithelioma
291360017,Basal cell carcinoma
2519751000006116,Pigmented basal cell carcinoma
2519771000006114,Basiloma
2519761000006119,Rodent ulcer
2519781000006112,BCC - Basal cell carcinoma
4505481000006113,Basal cell carcinoma - morpheic
305801000006113,Basal cell carcinoma - morphoeic
4505491000006111,Morpheaform basal cell carcinoma
5028111000006115,Basal cell carcinoma of eyelid
5028121000006111,Rodent ulcer of eyelid
5348541000006111,RU - Rodent ulcer
5348531000006118,BCC - Basal cell carcinoma of skin
5348551000006113,"Cancer of skin, basal cell"
379315011,Rodent ulcer
5348521000006116,Basalioma
215751000000116,Basal cell carcinoma of skin
5348581000006117,Metatypical basal cell carcinoma of skin
5348571000006115,BCC - Metatypical basal cell carcinoma of skin
5348561000006110,Basosquamous carcinoma of skin
5348781000006112,Basal cell carcinoma with eccrine differentiation
5873951000006111,Excision of basal cell carcinoma
5873961000006113,Cryotherapy of basal cell carcinoma
5911541000006118,"Basal cell carcinoma, sclerosing type"
5911531000006111,Basal cell carcinoma - sclerosing type
3101111000006118,Mixed basal - squamous cell carcinoma
3101101000006116,Mixed basal-squamous cell carcinoma
3101121000006114,Basisquamous cell carcinoma
305901000006119,Basosquamous carcinoma
6623331000006110,Eccrine basal cell carcinoma
6623321000006112,Basal cell carcinoma with eccrine differentiation
6623621000006115,Basal cell carcinoma with adnexal differentiation
6624571000006115,Keratotic basal cell carcinoma
6624901000006117,Basal cell carcinoma in basal cell naevus syndrome
6624911000006119,Basal cell carcinoma in basal cell nevus syndrome
6625161000006117,Pigmented basal cell carcinoma
6627671000006111,Infundibulocystic basal cell carcinoma
6627681000006114,Follicular basal cell carcinoma
6627661000006116,Basal cell carcinoma with follicular differentiation
6631211000006114,Basal cell carcinoma of postauricular skin
6631791000006114,Basal cell carcinoma of preauricular skin
6632161000006113,Basal cell carcinoma of earlobe
6632281000006111,Basal cell carcinoma with matrical differentiation
6633981000006114,Basal cell carcinoma of pinnal sulcus
6634151000006117,"Basal cell carcinoma, micronodular"
6634371000006112,Basal cell carcinoma with sebaceous differentiation
6635441000006111,Basal cell carcinoma - category
6636201000006115,Basal cell carcinoma of antihelix of ear
6666221000006115,Basal cell carcinoma of lower eyelid
6666231000006117,Basal cell carcinoma of medial canthus
6666241000006110,Basal cell carcinoma of lateral canthus
6666251000006112,Basal cell carcinoma of root of nose
6666261000006114,Basal cell carcinoma of dorsum of nose
6666271000006119,Basal cell carcinoma of lateral side wall of nose
6666281000006116,Basal cell carcinoma of ala nasi
6666291000006118,Basal cell carcinoma of supratip of nose
6666301000006117,Basal cell carcinoma of tip of nose
6666311000006119,Basal cell carcinoma of nasal columella
6666321000006110,Basal cell carcinoma of nasolabial groove
6666331000006113,Basal cell carcinoma of upper lip
6666341000006115,Basal cell carcinoma of lower lip
6666351000006118,Basal cell carcinoma of cheek
6666371000006111,"Cancer of chin, basal cell"
6666361000006116,Basal cell carcinoma of chin
6666381000006114,Basal cell carcinoma of neck
6666391000006112,"Cancer of skin of neck, basal cell"
6666401000006114,Basal cell carcinoma of helix of ear
6666411000006112,Basal cell carcinoma of conchal bowl of ear
6666421000006116,Basal cell carcinoma of antitragus
6666431000006118,Basal cell carcinoma of tragus
6666441000006111,Basal cell carcinoma of obverse of pinna
6666451000006113,Basal cell carcinoma of anterior chest
6666461000006110,Basal cell carcinoma of abdomen
6666471000006115,Basal cell carcinoma of upper back
6666481000006117,Basal cell carcinoma of lower back
6666491000006119,Basal cell carcinoma of face
6666501000006110,"Cancer of skin of face, basal cell"
6666531000006119,"Cancer of hand, basal cell"
6666521000006117,"Carcinoma on hand, basal cell"
6666511000006113,Basal cell carcinoma of hand
6666551000006114,Basal cell carcinoma of arm
6666561000006111,"Cancer of skin of upper limb, basal cell"
6666541000006112,Basal cell carcinoma of upper extremity
6666581000006118,"Cancer of skin of lower limb, basal cell"
6666571000006116,Basal cell carcinoma of lower extremity
6666591000006115,Basal cell carcinoma of truncal skin
6666601000006111,"Cancer of skin of trunk, basal cell"
6666611000006114,Basal cell carcinoma - adamantinoid
