CTV3Codes,Description
X78SS,Basal cell carcinoma of skin
X78ST,Basosquamous carcinomaof skin
X78VL,Naevoid basal cell carcinoma syndrome
X78SU,Fibroepithelioma of Pinkus
X78VK,Follicularatrophoderma and basal cell epitheliomata
X00Z9,Basal cell carcinoma of eyelid
Xa7OT,Excision of basal cell carcinoma
7G056,Excision biopsy of basal cell carcinoma
Xa7OU,Cryotherapy of basal cell carcinoma
X78ST,Metatypical basal cell carcinoma of skin
X78Sg,Basal cell carcinoma with eccrine differentiation
XM1ML,Epithelioma basal cell
