CTV3Codes,Description
E2E..,Hyperkinetic disorder
Eu900,[X]Disturbance of activity and attention
E2E2.,Hyperkinetic conduct disorder
E2E1.,Hyperkinesis with developmental delay
E2Ey.,Other hyperkinetic manifestation
E2Ez.,Hyperkinetic syndrome NOS
Eu90y,[X]Other hyperkinetic disorders
Eu90z,"[X]Hyperkinetic disorder, unspecified"
Eu91.,[X]Conduct disorders
Eu91y,[X]Other conduct disorders
XE1aC,[X]Other mixed disorders of conduct and emotions
E2C0.,Aggressive unsocial conduct disorder
E2C0z,Aggressive unsocial conduct disorder NOS
XE1YJ,Dissocial personality disorder
E2C2.,Conduct disorder - socialised
E2C20,Socialised childhood truancy
E2C2z,Socialised conduct disorder NOS
E2Dy0,Oppositional defiant disorder
E2C4.,Childhood disorder of conduct and emotion
X00TX,Depressive conduct disorder
E2C4z,Mixed disturbance of conduct and emotion NOS
Eu92.,[X]Mixed disorders of conduct and emotions
E284.,Stress reaction causing mixed disturbance of emotion and conduct
XabmL,Disorder of attention
X00TV,Conduct disorder - in family context
Eu910,[X]Conduct disorder confined to the family context
X00TR,Behavioural and emotional disorder with onset in childhood
Eu9..,[X]Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Eu9y.,[X]Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Xac0T,"Behavioural, emotional and social difficulties"
Xac0U,Emotional behavioural difficulties
Eu9yy,[X]Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Eu9yz,[X]Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
X00TU,Childhood conduct disorder
X00TW,Conduct disorder - unsocialised
E2C23,Group delinquency
XE1Ys,Nonaggressive unsocial conduct disorder
XE1Yt,Unsocial childhood truancy
E2C3.,Impulse control disorder NEC
E2C35,Isolated explosive disorder
E2C3z,Impulse control disorder NOS
E2Cy.,Other conduct disturbances
E2Cz.,Unspecified disturbance of conduct
XE1Yr,Disturbance of conduct NEC
