CTV3Codes,Description
X00SM,Bipolar disorder
XaY1Y,Bipolar I disorder
Eu310,"Bipolar affective disorder, current episode hypomanic"
E114.,"Bipolar affective disorder, current episode manic"
E1140,"Bipolar affective disorder, currently manic, unspecified"
E1141,"Bipolar affective disorder, currently manic, mild"
E1142,"Bipolar affective disorder, currently manic, moderate"
E1143,"Bipolar affective disorder, currently manic, severe, without mention of psychosis"
E1144,"Bipolar affective disorder, currently manic, severe, with psychosis"
E1145,"Bipolar affective disorder, currently manic, in partial or unspecified remission"
E1146,"Bipolar affective disorder, currently manic, in full remission"
E114z,"Bipolar affective disorder, currently manic, NOS"
E115.,"Bipolar affective disorder, current episode depression"
E1150,"Bipolar affective disorder, currently depressed, unspecified"
E1151,"Bipolar affective disorder, currently depressed, mild"
E1152,"Bipolar affective disorder, currently depressed, moderate"
E1154,"Bipolar affective disorder, currently depressed, severe, with psychosis"
E1153,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis"
E1155,"Bipolar affective disorder, currently depressed, in partial or unspecified remission"
E1156,"Bipolar affective disorder, currently depressed, in full remission"
E115z,"Bipolar affective disorder, currently depressed, NOS"
Eu316,"Bipolar affective disorder , current episode mixed"
E1160,"Mixed bipolar affective disorder, unspecified"
E1161,"Mixed bipolar affective disorder, mild"
E1162,"Mixed bipolar affective disorder, moderate"
E1163,"Mixed bipolar affective disorder, severe, without mention of psychosis"
E1164,"Mixed bipolar affective disorder, severe, with psychosis"
E1165,"Mixed bipolar affective disorder, in partial or unspecified remission"
E1166,"Mixed bipolar affective disorder, in full remission"
E116z,"Mixed bipolar affective disorder, NOS"
E116.,Mixed bipolar affective disorder
E117.,Unspecified bipolar affective disorder
E1170,"Unspecified bipolar affective disorder, unspecified"
E1171,"Unspecified bipolar affective disorder, mild"
E1172,"Unspecified bipolar affective disorder, moderate"
E1173,"Unspecified bipolar affective disorder, severe, without mention of psychosis"
E1174,"Unspecified bipolar affective disorder, severe, with psychosis"
E1175,"Unspecified bipolar affective disorder, in partial or unspecified remission"
E1176,"Unspecified bipolar affective disorder, in full remission"
E117z,"Unspecified bipolar affective disorder, NOS"
E11y.,Other and unspecified manic-depressive psychoses
E11y0,Unspecified manic-depressive psychoses
E11y3,Other mixed manic-depressive psychoses
E11yz,Other and unspecified manic-depressive psychoses NOS
XaB95,Other manic-depressive psychos
Eu311,"[X]Bipolar affective disorder, current episode manic without psychotic symptoms"
Eu312,"[X]Bipolar affective disorder, current episode manic with psychotic symptoms"
Eu313,"[X]Bipolar affective disorder, current episode mild or moderate depression"
Eu314,"[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms"
Eu317,"[X]Bipolar affective disorder, currently in remission"
Eu31z,"[X]Bipolar affective disorder, unspecified"
X00SN,Bipolar II disorder
XE1ZX,[X]Other bipolar affective disorders
X00RO,Organic bipolar disorder
XaMwc,Bipolar affective disorder resolved
E2113,Cyclothymia
