SNOMEDCTCodes,Description
260994008,Bipolar (qualifier value)
13746004,Bipolar disorder (disorder)
16238741000119105,Bipolar disorder caused by drug (disorder)
85248005,Bipolar disorder in remission (disorder)
41836007,Bipolar disorder in full remission (disorder)
191634005,"Bipolar affective disorder, currently depressed, in full remission (disorder)"
191625000,"Bipolar affective disorder, currently manic, in full remission (disorder)"
723903001,Bipolar type I disorder currently in full remission (disorder)
3530005,"Bipolar I disorder, single manic episode, in full remission (disorder)"
22121000,Depressed bipolar I disorder in full remission (disorder)
30935000,Manic bipolar I disorder in full remission (disorder)
111485001,Mixed bipolar I disorder in full remission (disorder)
723905008,Bipolar type II disorder currently in full remission (disorder)
12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)"
191643001,"Mixed bipolar affective disorder, in full remission (disorder)"
5703000,Bipolar disorder in partial remission (disorder)
78269000,"Bipolar I disorder, single manic episode, in partial remission (disorder)"
49512000,Depressed bipolar I disorder in partial remission (disorder)
63249007,Manic bipolar I disorder in partial remission (disorder)
36583000,Mixed bipolar I disorder in partial remission (disorder)
67002003,"Severe bipolar II disorder, most recent episode major depressive, in partial remission (disorder)"
767631007,"Bipolar disorder, most recent episode depression (disorder)"
191627008,"Bipolar affective disorder, current episode depression (disorder)"
191629006,"Bipolar affective disorder, currently depressed, mild (disorder)"
191630001,"Bipolar affective disorder, currently depressed, moderate (disorder)"
765176007,Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)
767636002,"Bipolar I disorder, most recent episode depression (disorder)"
29929003,"Bipolar I disorder, most recent episode depressed with atypical features (disorder)"
21900002,"Bipolar I disorder, most recent episode depressed with catatonic features (disorder)"
75752004,"Bipolar I disorder, most recent episode depressed with melancholic features (disorder)"
87203005,"Bipolar I disorder, most recent episode depressed with postpartum onset (disorder)"
51637008,"Chronic bipolar I disorder, most recent episode depressed (disorder)"
16295005,"Bipolar II disorder, most recent episode major depressive (disorder)"
43568002,"Bipolar II disorder, most recent episode major depressive with atypical features (disorder)"
22407005,"Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)"
34315001,"Bipolar II disorder, most recent episode major depressive with melancholic features (disorder)"
30687003,"Bipolar II disorder, most recent episode major depressive with postpartum onset (disorder)"
1196001,"Chronic bipolar II disorder, most recent episode major depressive (disorder)"
