MedCodeID,Description
8455581000006113,Infiltrating ductal carcinoma of central portion of left female breast
8455651000006116,Infiltrating ductal carcinoma of upper outer quadrant of left female breast
8455691000006110,Infiltrating ductal carcinoma of central portion of right female breast
8455801000006119,Infiltrating lobular carcinoma of left female breast
8455901000006113,Infiltrating lobular carcinoma of right female breast
8457401000006110,Recurrent primary malignant neoplasm of right female breast
4171281000006114,Overlapping malignant neoplasm of female breast
4171291000006112,Overlapping malignant neoplasm of male breast
174577011,Intraductal carcinoma in situ of breast
4413241000006111,"Intraductal carcinoma, clinging, high grade"
4413231000006118,"Ductal carcinoma in situ, micropapillary"
4413221000006116,Intraductal micropapillary carcinoma
4419121000006112,"Ductal carcinoma in situ, cribriform type"
4419111000006116,Cribriform carcinoma in situ
4419141000006117,"Intraductal carcinoma, solid type"
4419131000006110,"Ductal carcinoma in situ, solid type"
9835051000006116,Primary malignant neoplasm of bilateral female breasts
2796431000006114,Intraductal carcinoma and lobular carcinoma in situ
291539012,[M]Intraductal carcinoma and lobular carcinoma in situ
289029012,Malignant melanoma of breast
289146012,Malignant neoplasm of axillary tail of female breast
880321000006118,Ca breast - axillary tail
289147015,"Malignant neoplasm, overlapping lesion of breast"
289149017,Malignant neoplasm of ectopic site of female breast
5351541000006115,Carcinoma of breast
5351551000006118,CA - Carcinoma of breast
5351561000006116,Scirrhous carcinoma of breast
5351571000006111,Inflammatory carcinoma of breast
5351581000006114,Mastitis carcinomatosa
5351601000006116,Familial cancer of breast
5351611000006118,Malignant phyllodes tumour of breast
5351621000006114,Malignant phyllodes tumor of breast
5351631000006112,Malignant cystosarcoma phyllodes of breast
5608031000006112,Sarcoma of breast
5608051000006117,Malignant lymphoma of breast
5608081000006113,Lobular carcinoma of breast
5608071000006110,Infiltrating lobular carcinoma of breast
5720891000006116,"Carcinoma breast - lower, outer quadrant"
5720901000006117,Carcinoma of breast - axillary tail
2992331000006110,Non-infiltrating intraductal papillary carcinoma
2992301000006119,"Ductal carcinoma in situ, papillary"
2992321000006112,Non-infiltrating intraductal papillary adenocarcinoma
2992291000006115,Intraductal papillary carcinoma
2992281000006118,Intraductal papillary adenocarcinoma
2992271000006116,Noninfiltrating intraductal papillary carcinoma
2992261000006111,Noninfiltrating intraductal papillary adenocarcinoma
314091000006113,[M]Noninfiltrating intraductal papillary adenocarcinoma
2992311000006116,"DCIS, papillary"
