CTV3Codes,Description
X78WM,Breast cancer
XaFr8,Local recurrence of malignant tumour of breast
X78WN,Carcinoma of breast
Xa0bT,Intraduct carcinoma of breast
Xa0bU,Lobular carcinoma of breast
X78WO,Scirrhous carcinoma of breast
X78WP,Inflammatory carcinoma of breast
X78WQ,Cancer en cuirasse
Xa3eK,Ca breast - nipple/central
Xa3eL,"Carcinoma of breast - upper, inner quadrant"
Xa3eM,"Carcinoma of breast - lower, inner quadrant"
Xa3eN,"Carcinoma of breast - upper, outer quadrant"
Xa3eO,"Carcinoma breast - lower, outer quadrant"
Xa3eP,Carcinoma of breast - axillary tail
Xa3eQ,Carcinoma of breast NOS
Xa0bQ,Sarcoma of breast
Xa0bS,Malignant lymphoma of breast
X78WT,Malignant phyllodes tumour of breast
B58y0,Metastasis to breast
Xa3BH,Metastasis to breast of unknown primary
B34..,Malignant neoplasm of female breast
B340.,Malignant neoplasm of nipple and areola of female breast
B341.,Malignant neoplasm of central part of female breast
B342.,Malignant neoplasm of upper-inner quadrant of female breast
B343.,Malignant neoplasm of lower-inner quadrant of female breast
B344.,Malignant neoplasm of upper-outer quadrant of female breast
B345.,Malignant neoplasm of lower-outer quadrant of female breast
B346.,Malignant neoplasm of axillary tail of female breast
B347.,"Malignant neoplasm, overlapping lesion of breast"
B34y.,Malignant neoplasm of other site of female breast
B34y0,Malignant neoplasm of ectopic site of female breast
B34yz,Malignant neoplasm of other site of female breast NOS
B34z.,Malignant neoplasm of female breast NOS
B3400,Malignant neoplasm of nipple of female breast
B3401,Malignant neoplasm of areola of female breast
B340z,Malignant neoplasm of nipple or areola of female breast NOS
B35..,Malignant neoplasm of male breast
B350.,Malignant neoplasm of nipple and areola of male breast
B3500,Malignant neoplasm of nipple of male breast
B3501,Malignant neoplasm of areola of male breast
B350z,Malignant neoplasm of nipple or areola of male breast NOS
B35z.,Malignant neoplasm of other site of male breast
B35z0,Malignant neoplasm of ectopic site of male breast
B35zz,Malignant neoplasm of male breast NOS
XE1zJ,Ca breast - male
Byu6.,[X]Malignant neoplasm of breast
XE1z9,"Ca breast-upper,inner quadrant"
XE1zB,"Ca breast-lower,inner quadrant"
XE1zD,"Ca breast-upper,outer quadrant"
XE1zF,"Ca breast-lower,outer quadrant"
XE1zH,Ca breast - axillary tail
XE1zL,Ca breast - NOS
B830.,Breast Ca in situ
X78WV,Lobular carcinoma in situ of breast
X78WW,Intraductal carcinoma in situ of breast
ByuFG,[X]Other carcinoma in situ of breast
XaJU6,Breast cancer detected by national screening programme
