SNOMEDCTCodes,Description
77090002,Bullous pemphigoid (disorder)
1228843008,Anti-p200 pemphigoid (disorder)
402439006,Childhood bullous pemphigoid (disorder)
403629000,Drug-induced bullous pemphigoid (disorder)
402437008,Localized bullous pemphigoid of vulva (disorder)
402440008,Oral mucous membrane involvement by bullous pemphigoid (disorder)
402438003,Pemphigoid nodularis (disorder)
238940005,Pemphigoid vegetans (disorder)
1013711000000107,Serum bullous pemphigoid 230 kiloDalton antibody level (observable entity)
1013721000000101,Serum bullous pemphigoid 180 kiloDalton antibody level (observable entity)
238938000,Prebullous pemphigoid (disorder)
402436004,Eosinophilic spongiosis (prebullous pemphigoid) (disorder)
5341000237108,Arbitrary concentration of bullous pemphigoid 230 kiloDalton antibody in serum (observable entity)
2211000237109,Arbitrary concentration of bullous pemphigoid 180 kiloDalton antibody in serum (observable entity)
