SNOMEDCTCodes,Description
74012004,Congenital anomaly of pituitary gland (disorder)
205750001,Accessory pituitary gland (disorder)
778005007,Duplication of pituitary gland (disorder)
205749001,Congenital absence of pituitary gland (disorder)
254255007,Congenital malformation of anterior pituitary (disorder)
722380003,Congenital cataract with intellectual disability and hypogonadotropic hypogonadism syndrome (disorder)
721072003,"Short stature, pituitary and cerebellar defect and small sella turcica syndrome (disorder)"
254256008,Congenital malformation of posterior pituitary (disorder)
6537000,Ectopic pituitary tissue (disorder)
38632003,Pharyngeal pituitary tissue (disorder)
715727009,Pituitary stalk interruption syndrome (disorder)
7611002,Septo-optic dysplasia sequence (disorder)
718182008,Combined pituitary hormone deficiency genetic form (disorder)
