MedCodeID,Description
315521018,Congenital absence of pituitary gland
315522013,Accessory pituitary gland
5339821000006113,Congenital malformation of anterior pituitary
5339831000006111,Congenital anomaly of anterior pituitary
5339841000006118,Congenital malformation of posterior pituitary
5339851000006116,Congenital anomaly of posterior pituitary
3121831000006110,Pharyngeal pituitary tissue
500100010,Aberrant pituitary gland
2604361000006111,Ectopic pituitary tissue
7736821000006118,Ectopic neurohypophysis
7736811000006114,Pituitary stalk interruption syndrome
7768861000006115,Multiple pituitary hormone deficiency genetic form
7768841000006119,Combined pituitary hormone deficiency genetic form
7768851000006117,Familial congenital hypopituitarism
7811521000006118,"Short stature, pituitary and cerebellar defect and small sella turcica syndrome"
7830651000006114,Congenital cataract with intellectual disability and hypogonadotropic hypogonadism syndrome
7830641000006112,Martsolf syndrome
484561000006118,Congenital malformation of pituitary gland
315523015,Congenital anomaly of pituitary gland
2621021000006112,Septo-optic dysplasia sequence
149231000006119,Septo optic dysplasia
