SNOMEDCTCodes,Description
15859004,Chronic hemodialysis diet (finding)
441000124107,Hemodialysis access site patent (finding)
736375002,Hemodialysis care plan (record artifact)
365061000000106,Active on kidney transplant waiting list (finding)
365071000000104,Active on kidney transplant waiting list while waiting live donor work-up (finding)
365151000000109,Active on kidney transplant waiting list with failing graft (finding)
365131000000102,Active on paired exchange kidney transplant waiting list (finding)
365161000000107,Active on urgent kidney transplant waiting list (finding)
19351000,Acute glomerulonephritis (disorder)
197582001,Acute glomerulonephritis associated with another disorder (disorder)
368871000119106,Acute nephritic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type III (disorder)
197688006,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis (disorder)"
197580009,Acute nephritis with lesions of necrotizing glomerulitis (disorder)
1081801000112104,Acute nephrotic syndrome (disorder)
68544003,Acute post-streptococcal glomerulonephritis (disorder)
197579006,Acute proliferative glomerulonephritis (disorder)
236582008,Acute-on-chronic rejection of renal transplant (disorder)
236433006,Acute-on-chronic renal failure (disorder)
765478004,Allotransplantation of left kidney (procedure)
765479007,Allotransplantation of right kidney (procedure)
770414008,Alport syndrome (disorder)
717766000,Alport syndrome autosomal dominant (disorder)
717767009,Alport syndrome autosomal recessive (disorder)
717768004,Alport syndrome X-linked (disorder)
720982007,"Alport syndrome, intellectual disability, midface hypoplasia, elliptocytosis syndrome (disorder)"
425879009,Amyloid A nephropathy (disorder)
426598005,Amyloid light-chain nephropathy (disorder)
197629000,Anaphylactoid glomerulonephritis (disorder)
707323002,Anemia co-occurrent and due to chronic kidney disease (disorder)
691421000119108,Anemia co-occurrent and due to chronic kidney disease stage 3 (disorder)
691401000119104,Anemia co-occurrent and due to chronic kidney disease stage 4 (disorder)
691411000119101,Anemia co-occurrent and due to chronic kidney disease stage 5 (disorder)
707324008,Anemia co-occurrent and due to end stage renal disease (disorder)
691381000119104,Anemia due to chronic kidney disease stage 1 (disorder)
49708008,Anemia of chronic renal failure
1801000119106,"Anemia, pre-end stage renal disease on erythropoietin protocol (disorder)"
788613004,Anti-glomerular basement membrane disease (disorder)
62853008,Anti-glomerular basement membrane tubulointerstitial nephritis (disorder)
428648006,Automated peritoneal dialysis (procedure)
722294004,Autosomal dominant intermediate Charcot-Marie-Tooth disease type E (disorder)
175899003,Autotransplantation of kidney (procedure)
698306007,Awaiting transplantation of kidney (situation)
26121002,Balkan nephropathy (disorder)
236412002,C1q nephropathy (disorder)
705065000,Childhood nephrotic syndrome (disorder)
197619007,Chronic diffuse glomerulonephritis (disorder)
236452000,Chronic drug-induced tubulointerstitial nephritis (disorder)
197617009,Chronic exudative glomerulonephritis (disorder)
197618004,Chronic focal glomerulonephritis (disorder)
20917003,Chronic glomerulonephritis (disorder)
197616000,Chronic glomerulonephritis associated with another disorder (disorder)
78544004,Chronic hypertensive uremia (disorder)
236374007,Chronic infective interstitial nephritis (disorder)
709044004,Chronic kidney disease (disorder)
249171000000102,Chronic kidney disease annual review (regime/therapy)
737429003,Chronic kidney disease clinical management plan (record artifact)
104931000119100,Chronic kidney disease due to hypertension (disorder)
722150000,Chronic kidney disease due to systemic infection (disorder)
722467000,Chronic kidney disease due to traumatic loss of kidney (disorder)
96441000119101,Chronic kidney disease due to type 1 diabetes mellitus (disorder)
771000119108,Chronic kidney disease due to type 2 diabetes mellitus (disorder)
722098007,Chronic kidney disease following donor nephrectomy (disorder)
722149000,Chronic kidney disease following excision of renal neoplasm (disorder)
713313000,Chronic kidney disease mineral and bone disorder (disorder)
248721000000108,Chronic kidney disease monitoring (regime/therapy)
713811000000100,Chronic kidney disease monitoring administration (record artifact)
716651000000106,Chronic kidney disease monitoring first letter (procedure)
