MedCodeID,Description
3331116019,Glomerulonephritis due to antineutrophil cytoplasmic antibody (ANCA) positive vasculitis
3541411013,Glomerulonephritis co-occurrent and due to antineutrophil cytoplasmic antibody positive vasculitis
8032721000006117,Chronic kidney disease due to hypertension
8033511000006111,Idiopathic glomerulonephritis
9325291000006119,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth
9325301000006118,Preexisting hypertensive heart and chronic kidney disease in childbirth
9325341000006116,Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy
9325351000006119,Preexisting hypertensive heart and chronic kidney disease in pregnancy
9351511000006113,Dependence on continuous ambulatory peritoneal dialysis
9351521000006117,Dependence on continuous cycling peritoneal dialysis
9351541000006112,Dependence on continuous cyclic peritoneal dialysis
9351531000006119,Continuous cycling peritoneal dialysis dependence
2675201000006114,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI"
2675171000006110,Lupus nephritis - WHO Class VI
2675191000006111,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class VI"
2675151000006117,SLE with advanced sclerosing glomerulonephritis
2675181000006113,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class VI"
2675141000006119,"SLE glomerulonephritis syndrome, WHO class VI"
2675161000006115,Lupus with glomerular sclerosis
8035251000006111,End stage renal disease due to hypertension
8035261000006113,ESRD (End stage renal disease) due to hypertension
8036941000006111,Chronic kidney disease stage 1 due to hypertension
8037171000006115,Preexisting hypertensive chronic kidney disease in pregnancy
8037161000006110,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy
2689941000006111,Stabilising haemodialysis
2689951000006113,Stabilizing hemodialysis
8037721000006115,Glomerulonephritis due to hepatitis C
4353701000006118,Subacute glomerulonephritis
4355451000006111,Immune-complex glomerulonephritis
4355461000006113,Immune complex glomerulonephritis
8040331000006118,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
8040341000006111,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus
8040661000006119,Chronic kidney disease stage 4 due to hypertension
8040671000006114,Chronic kidney disease stage 5 due to hypertension
8040681000006112,Chronic kidney disease stage 3 due to hypertension
8040691000006110,Chronic kidney disease stage 2 due to hypertension
2711281000006117,Sclerosing glomerulonephritis
8044021000006113,Hypertension in chronic kidney disease stage 5 due to type II diabetes mellitus
8044011000006117,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
8044051000006116,Hypertension in chronic kidney disease stage 4 due to type II diabetes mellitus
8044041000006118,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
8044061000006119,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
8044071000006114,Hypertension in chronic kidney disease stage 3 due to type II diabetes mellitus
8044091000006110,Hypertension in chronic kidney disease stage 2 due to type II diabetes mellitus
8044081000006112,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus
2521181000006116,Necrotising glomerulonephritis
2521191000006118,Necrotizing glomerulonephritis
2732451000006111,Peritoneal dialysis excluding cannulation
8047971000006118,Malignant hypertensive chronic kidney disease stage 5
8048001000006110,End stage renal disease on dialysis due to hypertension
