CTV3Codes,Description
G55..,Cardiomyopathy
XaZcx,Amyloid cardiomyopathy
XaXNg,Tachycardia-induced cardiomyopathy
XaWye,Takotsubo cardiomyopathy
X201Y,Hypertrophic cardiomyopathy
G551.,Hypertrophic obstructive cardiomyopathy
G5543,Hypertrophic cardiomyopathy without obstruction
Gyu5M,[X]Other hypertrophic cardiomyopathy
XE0Uz,Congestive cardiomyopathy
X201a,Post-myocarditic cardiomyopathy
X201b,Cardiomyopathy in the puerperium
X201c,Familial dilated cardiomyopathy
G5544,Primary dilated cardiomyopathy
X201W,Congestive obstructive cardiomyopathy
X201Z,Secondary dilated cardiomyopathy
G5541,Restrictive cardiomyopathy
G550.,Restrictive cardiomyopathy with endomyocardial fibrosis
X201d,Restrictive cardiomyopathy without endomyocardial fibrosis
X201e,Familial restrictive cardiomyopathy
Gyu5N,[X]Other restrictive cardiomyopathy
Xa1fq,Arrhythmogenic right ventricular cardiomyopathy
X776w,Right ventricular fibromuscular infundibular stenosis
X776x,Right ventricular muscular infundibular stenosis
G343.,Generalised ischaemic myocardial dysfunction
G554.,Other primary cardiomyopathies
G5542,Familial cardiomyopathy
G554z,Other primary cardiomyopathy NOS
G557.,Nutritional and metabolic cardiomyopathies
G5574,Mucopolysaccharidosis cardiomyopathy
Gyu5R,[X]Cardiomyopathy in metabolic diseases classified elsewhere
Gyu5S,[X]Cardiomyopathy in nutritional diseases classified elsewhere
XE0V0,Nutritional and metabolic cardiomyopathy NOS
G558.,Cardiomyopathy in disease EC
G5580,Cardiomyopathy in Friedreich's ataxia
G558z,"Cardiomyopathy in diseases EC, NOS"
Gyu5Q,[X]Cardiomyopathy in infectious and parasitic diseases classified elsewhere
Gyu5T,[X]Cardiomyopathy in other diseases classified elsewhere
XaI9b,Cardiomyopathy in Duchenne muscular dystrophy
G55z.,Cardiomyopathy NOS
G5y1.,Myocardial degeneration
Gyu5P,[X]Other cardiomyopathies
XE0V1,Secondary cardiomyopathy NOS
G5582,Dystrophic cardiomyopathy
X201h,Drug-induced cardiomyopathy
XE0Uy,Obscure African cardiomyopathy
G556.,Chagas' disease cardiomyopathy
C3733,Familial amyloid cardiomyopathy
G5581,Cardiomyopathy in myotonic dystrophy
X708j,Benign scapuloperoneal muscular dystrophy with cardiomyopathy
