V2Codes,Description
G55..,Cardiomyopathy
G550.,Endomyocardial fibrosis
G551.,Hypertrophic obstructive cardiomyopathy
G552.,Obscure African cardiomyopathy
G553.,Endocardial fibroelastosis
G554.,Other primary cardiomyopathies
G5540,Congestive cardiomyopathy
G5541,Constrictive cardiomyopathy
G5542,Familial cardiomyopathy
G5543,Hypertrophic non-obstructive cardiomyopathy
G5544,Primary dilated cardiomyopathy
G5545,Takotsubo cardiomyopathy
G554z,Other primary cardiomyopathy NOS
G555.,Alcoholic cardiomyopathy
G556.,Cardiomyopathy in Chagas's disease
G557.,Nutritional and metabolic cardiomyopathies
G5572,Cardiac glycogenosis
G5574,Mucopolysaccharidosis cardiomyopathy
G5575,Thyrotoxic heart disease
G557z,Nutritional and metabolic cardiomyopathy NOS
G558.,Cardiomyopathy in disease EC
G5580,Cardiomyopathy in Friedreich's ataxia
G5581,Cardiomyopathy in myotonic dystrophy
G5582,Dystrophic cardiomyopathy
G5584,Amyloid cardiomyopathy
G558z,"Cardiomyopathy in diseases EC, NOS"
G559.,Arrhythmogenic right ventricular cardiomyopathy
G55A.,Tachycardiomyopathy
G55y.,Secondary cardiomyopathy NOS
G55y0,Cardiomyopathy due to drugs and other external agents
G55z.,Cardiomyopathy NOS
G343.,Ischaemic cardiomyopathy
L1865,Cardiomyopathy in the puerperium
F391B,Cardiomyopathy in Duchenne muscular dystrophy
