SNOMEDCTCodes,Description
85898001,Cardiomyopathy (disorder)
880040003,Arrhythmogenic left ventricular cardiomyopathy (disorder)
253528005,Arrhythmogenic right ventricular dysplasia (disorder)
715865008,Familial isolated arrhythmogenic right ventricular dysplasia (disorder)
715535009,Keratosis palmoplantaris and arrhythmogenic cardiomyopathy syndrome (disorder)
195029002,Cardiomyopathy associated with another disorder (disorder)
847041000000109,Amyloid cardiomyopathy (disorder)
1186866009,Cardiomyopathy due to acromegaly (disorder)
725416005,Cardiomyopathy due to cirrhosis of liver (disorder)
860837007,Cardiomyopathy due to connective tissue disease (disorder)
1264404009,Dilated cardiomyopathy due to scleroderma (disorder)
36471000,Dilated cardiomyopathy due to systemic lupus erythematosus (disorder)
35719004,Dilated cardiomyopathy due to systemic sclerosis (disorder)
788878000,Cardiomyopathy due to diabetes mellitus (disorder)
704241002,Fetal hypertrophic cardiomyopathy due to maternal diabetes mellitus (disorder)
1086051000119107,Cardiomyopathy due to diphtheria (disorder)
108701000119102,Cardiomyopathy due to hypertension (disorder)
471846004,Cardiomyopathy due to neuromuscular disorder (disorder)
860839005,Cardiomyopathy due to storage disease (disorder)
195027000,Cardiomyopathy due to mucopolysaccharidosis (disorder)
86995005,Dilated cardiomyopathy due to mucopolysaccharidosis (disorder)
84725008,Restrictive cardiomyopathy due to mucopolysaccharidosis (disorder)
60514000,Dilated cardiomyopathy due to familial storage disease (disorder)
58911001,Dilated cardiomyopathy due to glycogen storage disease (disorder)
880038008,Dilated cardiomyopathy due to lysosomal storage disease (disorder)
11104006,Dilated cardiomyopathy due to phytanic acid storage disease (disorder)
871638006,Hypertrophic cardiomyopathy due to glycogen storage disease (disorder)
1230303001,Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease (disorder)
1137377003,Cardiomyopathy due to thyrotoxicosis (disorder)
204981000119101,Cardiomyopathy due to viral infection (disorder)
119731000146105,Cardiomyopathy due to disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)
30496006,Dilated cardiomyopathy due to viral myocarditis (disorder)
315608004,Cardiomyopathy in Duchenne muscular dystrophy (disorder)
195030007,Cardiomyopathy in Friedreich's ataxia (disorder)
50270004,Dilated cardiomyopathy due to Friedreich's ataxia (disorder)
890119003,Hypertrophic cardiomyopathy due to Friedreich ataxia (disorder)
195031006,Cardiomyopathy in myotonic dystrophy (disorder)
2816000,Dilated cardiomyopathy due to myotonic dystrophy (disorder)
50275009,Cobalt cardiomyopathy (disorder)
58629009,Dilated cardiomyopathy due to amyloidosis (disorder)
880014009,Dilated cardiomyopathy due to carnitine deficiency (disorder)
46696008,Dilated cardiomyopathy due to dermatomyositis (disorder)
39693003,Dilated cardiomyopathy due to granuloma (disorder)
86194008,Dilated cardiomyopathy due to infectious disease (disorder)
54830008,Dilated cardiomyopathy due to bacterial myocarditis (disorder)
44630002,Dilated cardiomyopathy due to fungal myocarditis (disorder)
1153452008,Dilated cardiomyopathy due to parasitic myocarditis (disorder)
40532006,Dilated cardiomyopathy due to protozoan myocarditis (disorder)
74249003,Dilated cardiomyopathy due to malignancy (disorder)
111285003,Dilated cardiomyopathy due to metabolic disorder (disorder)
1149109001,Dilated cardiomyopathy due to electrolyte imbalance (disorder)
8209004,Dilated cardiomyopathy due to hemochromatosis (disorder)
413995009,Dilated cardiomyopathy due to taurine deficiency (disorder)
28869005,Dilated cardiomyopathy due to muscular dystrophy (disorder)
79152002,Dilated cardiomyopathy due to neuromuscular disorder (disorder)
84733009,Dilated cardiomyopathy due to nutritional deficiency (disorder)
91604001,Dilated cardiomyopathy due to polyarteritis nodosa (disorder)
21430002,Dilated cardiomyopathy due to rheumatoid arthritis (disorder)
6022005,Dilated cardiomyopathy due to sarcoidosis (disorder)
472326004,Fetal hypertrophic cardiomyopathy associated with renal disease (disorder)
890122001,Hypertrophic cardiomyopathy due to disorder (disorder)
472325000,Fetal hypertrophic cardiomyopathy due to twin to twin transfusion syndrome (disorder)
890121008,Hypertrophic cardiomyopathy due to hyperthyroidism (disorder)
871649000,Hypertrophic cardiomyopathy due to lysosomal disease (disorder)
472316006,Hypertrophic mitochondrial cardiomyopathy (disorder)
890120009,Hypertrophic cardiomyopathy due to neuromuscular disorder (disorder)
775908005,Combined oxidative phosphorylation defect type 17 (disorder)
717812000,"Congenital cataract, hypertrophic cardiomyopathy, mitochondrial myopathy syndrome (disorder)"
763280005,"Encephalopathy, hypertrophic cardiomyopathy, renal tubular disease syndrome (disorder)"
1197430005,Glutaminyl-transfer ribonucleic acid amidotransferase subunit-related combined oxidative phosphorylation defect (disorder)
771509001,Hypertrophic cardiomyopathy and renal tubular disease due to mitochondrial deoxyribonucleic acid mutation (disorder)
718713000,Hypertrophic cardiomyopathy with hypotonia and lactic acidosis syndrome (disorder)
472318007,Hypertrophic mitochondrial cardiomyopathy associated with cataracts and lactic acidosis (disorder)
771513008,Infantile hypertrophic cardiomyopathy due to mitochondrial ribosomal protein L44 deficiency (disorder)
771478008,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to mitochondrial transfer ribonucleic acid translation optimization 1 deficiency (disorder)
1186718008,"Neonatal encephalomyopathy, cardiomyopathy, respiratory distress syndrome (disorder)"
1177176009,Intermediate epidermolysis bullosa simplex with cardiomyopathy (disorder)
472100003,Ischemic dilated cardiomyopathy due to coronary artery disease (disorder)
46939000,Keshan disease (disorder)
472315005,Mitochondrial cardiomyopathy (disorder)
233875006,Post-myocarditic cardiomyopathy (disorder)
1173036000,Combined oxidative phosphorylation defect type 23 (disorder)
871639003,Dilated cardiomyopathy due to mitochondrial disease (disorder)
472319004,Fatal infantile mitochondrial cardiomyopathy (disorder)
472317002,Histiocytoid mitochondrial cardiomyopathy (disorder)
460500001,Histiocytoid mitochondrial cardiomyopathy due to cytochrome aa3 deficiency (disorder)
1172839002,"Lethal left ventricular non-compaction, seizures, hypotonia, cataract, developmental delay syndrome (disorder)"
1187635008,Maternally inherited mitochondrial cardiomyopathy (disorder)
472320005,Maternally inherited mitochondrial cardiomyopathy and myopathy (disorder)
789037005,Rheumatic cardiomyopathy (disorder)
471858004,Valvular cardiomyopathy (disorder)
