MedCodeID,Description
5352361000006119,AIS - Adenocarcinoma in situ of cervix
5352371000006114,Cervical ACIS (adenocarcinoma in situ)
5352351000006116,Adenocarcinoma in situ of cervix
6723061000006111,Squamous cell carcinoma in situ of uterine cervix
7345581000006114,Endocervical adenocarcinoma in situ
12084891000006119,High grade cervical glandular intraepithelial neoplasia
12084901000006115,H-CGIN - high grade cervical glandular intraepithelial neoplasia
543771000006118,Carcinoma in situ of uterine cervix
292208014,[X]Carcinoma in situ of other parts of cervix
153129011,CIS - Carcinoma in situ of cervix
557401000006113,CIN III - carcinoma in situ of cervix
4006261000006113,CIN 3 - Cervical intraepithelial neoplasia grade 3
4006251000006111,Carcinoma in situ of cervix uteri
153146014,Carcinoma in situ of endocervix
153157016,Carcinoma in situ of exocervix
543401000006119,Cervical smear - severe dyskaryosis
557411000006111,Cervical intraepithelial neoplasia grade III with severe dysplasia
881191000006110,Carcinoma in situ cervix uteri
928781000006116,"[V]Personal history of cervical intraepithelial neoplasia, grade III"
