CTV3Codes,Description
X00j3,Cholesteatoma
X00j4,Mastoid cholesteatoma
F5531,Cholesteatoma of attic
F5332,Recurrent cholesteatoma post-mastoidectomy
X00jP,Cholesteatoma pearl
X00j7,Congenital cholesteatoma
F5530,Unspecified cholesteatoma
F5533,Cholesteatoma of middle ear and mastoid
X00kz,Nasal cholesteatoma
F5534,Diffuse cholesteatosis
XE17I,Cholesteatoma and aural polyp
F553z,Cholesteatoma of middle ear and mastoid NOS
F5020,Cholesteatoma of external ear
X00j6,Cholesteatoma with complications
F5532,Cholesteatoma of middle ear
