SNOMEDCTCodes,Description
420054005,Alcoholic cirrhosis (disorder)
76301009,Florid cirrhosis
419728003,Portal cirrhosis (disorder)
41309000,Alcoholic liver damage
266469006,Multilobular portal cirrhosis
43904005,Macronodular cirrhosis
197293003,Diffuse nodular cirrhosis
197294009,Fatty portal cirrhosis
197296006,Capsular portal cirrhosis
266470007,Cardiac portal cirrhosis
74669004,Cardiac cirrhosis
266471006,Juvenile portal cirrhosis
197284004,Chronic active hepatitis
6183001,Indian childhood cirrhosis
197303009,Bacterial portal cirrhosis
197306001,Zooparasitic portal cirrhosis
235896001,Infectious cirrhosis
266468003,Cirrhosis - non-alcoholic
89580002,Cryptogenic cirrhosis
19943007,Cirrhosis of liver
235895002,"Laennec's cirrhosis, non-alcoholic"
62484002,Hepatic fibrosis
12368000,Secondary biliary cirrhosis
197310003,Biliary cirrhosis of children
1761006,Biliary cirrhosis
235875008,Alcoholic hepatitis
197279005,Cirrhosis and chronic liver disease
197316009,Portal fibrosis without cirrhosis
197362001,Toxic liver disease with fibrosis and cirrhosis of liver
50325005,Alcoholic fatty liver
186639003,Chronic viral hepatitis B without delta-agent
128302006,Chronic type C viral hepatitis
10295004,Chronic viral hepatitis
31712002,Primary biliary cirrhosis
197441003,Primary sclerosing cholangitis
9953008,Acute alcoholic liver disease
186628001,Viral hepatitis C with coma
3738000,Viral hepatitis
197270009,Acute liver failure
197275004,Subacute hepatic failure
213153001,Liver transplant failure and rejection
213230009,Liver failure as a complication of care
399126000,Bronze cirrhosis (disorder)
308129003,Oesophageal varices in cirrhosis of the liver
309783001,Oesophageal varices in alcoholic cirrhosis of the liver
235880004,Alcoholic fibrosis and sclerosis of liver
235881000,Alcoholic hepatic failure
271440004,Cirrhosis secondary to cholestasis
307757001,Chronic alcoholic hepatitis
235899008,Hepatic sclerosis
235901004,Hepatic fibrosis with hepatic sclerosis
197321007,Steatosis of liver
442685003,NASH - Nonalcoholic steatohepatitis
429721005,History of hepatitis B (situation)
165806002,Hepatitis B surface antigen positive
165807006,Hepatitis e antigen present
314706002,Hepatitis C antibody test positive
66071002,Type B viral hepatitis
50711007,Viral hepatitis C
235865005,Hepatitis D superinfection of hepatitis B carrier
235869004,Chronic viral hepatitis B with hepatitis D
61977001,Chronic type B viral hepatitis
60498001,Congenital viral hepatitis B infection
408335007,Autoimmune hepatitis (disorder)
26206000,Viral hepatitis B with hepatic coma
197269008,Acute necrosis of liver
197276003,Subacute yellow atrophy
197274000,Subacute hepatic necrosis
197268000,Acute and subacute liver necrosis
72836002,Hepatic coma
59927004,Hepatic failure
17890003,Hepatic infarction
197356006,Toxic liver disease with hepatic necrosis
413438002,Acute hepatic failure due to drugs (disorder)
197364000,Central hemorrhagic necrosis of liver
197280008,Cirrhosis: [florid] or [alcoholic]
197297002,Cirrhosis: [cardiac portal] or [congestive]
197298007,Childhood function cirrhosis
197290000,(Cirrhosis - non alcoholic) or (portal cirrhosis)
197309008,(Liver cirrhosis: [named variants] or [NOS]) or (hepatic fibrosis)
173617001,Open operations on oesophageal varices
67364009,Ligation of esophageal varices
173621008,Open injection sclerotherapy to oesophageal varices
173639004,Fibreoptic oesophagoscopy and injection sclerotherapy of varices
173641003,Fibreoptic oesophagoscopy and banding of oesophageal varices
173660005,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope
173661009,Rigid oesophagoscopy and banding of oesophageal varices
173679008,Balloon tamponade of esophageal varices
18027006,Transplantation of liver
174425003,Orthotopic liver transplant
174426002,Heterotopic liver transplant
174427006,Replacement of previous liver transplant
235458006,Exploration of liver transplant
174451001,Exploration liver (& transplanted)
40946000,Viral hepatitis with hepatic coma
20415001,Progressive sclerosing poliodystrophy
17709002,Bleeding esophageal varices
14223005,Esophageal varices without bleeding
195474004,Esophageal varices in diseases EC
195475003,Oesophageal varices with bleeding in diseases EC
195476002,Esophageal varices without bleeding in diseases EC
91109007,Gastric varices
28670008,Esophageal varices
76783007,Chronic hepatitis
41889008,Chronic persistent hepatitis
197286002,Recurrent hepatitis
197291001,Unilobular portal cirrhosis
15999000,Mixed micro AND macronodular cirrhosis
197299004,Pigmentary portal cirrhosis
197300007,Pipestem portal cirrhosis
197301006,Toxic portal cirrhosis
197305002,Syphilitic portal cirrhosis
79720007,Chronic nonalcoholic liver disease
81675001,Chronic yellow atrophy of liver
328383001,Chronic liver disease
197324004,Liver abscess and sequelae of chronic liver disease
34742003,Portal hypertension
51292008,Hepatorenal syndrome
34736002,Chronic passive congestion of liver
197359004,Toxic liver disease with chronic persistent hepatitis
197360009,Toxic liver disease with chronic lobular hepatitis
197361008,Toxic liver disease with chronic active hepatitis
197368002,Hepatic granulomas in sarcoidosis
77480004,Congenital biliary atresia
1287007,Congenital absence of bile duct
68094008,Congenital hypoplasia of bile duct
253807009,Intrahepatic biliary atresia
82821008,Congenital atresia of extrahepatic bile duct
204779004,Atresia of bile duct (& [intrahepatic] or [extrahepatic]
204781002,Congenital absence of hepatic ducts
204782009,Atresia of hepatic ducts
31742004,Arteriohepatic dysplasia
213231008,Hepatorenal syndrome as a complication of care
235212007,Balloon tamponade of oesophagus using Sengstaken-Blakemore tube
235213002,Balloon tamponade of esophagus using Minnesota tube
235870003,Chronic non-A non-B hepatitis
235884008,Fulminant hepatic failure
235885009,Subfulminant hepatic failure
235886005,Chronic hepatic failure
57339008,Chronic lobular hepatitis
235889003,Drug-induced chronic hepatitis
21861000,Micronodular cirrhosis
235897005,Hypoxia-associated cirrhosis
123604002,Toxic cirrhosis
79607001,Congenital hepatic fibrosis
235898000,Pericellular fibrosis of congenital syphilis
235900003,Portal and splenic vein sclerosis
235902006,Intrahepatic phlebosclerosis and fibrosis
235910007,Liver transplant disorder
235911006,Liver transplant rejection
235912004,Liver transplant failure
235916001,Ichthyosis congenita with biliary atresia
266539002,Chronic hepatitis (& [NOS] or [active B] or [active] or [persistent])
266540000,Biliary cirrhosis
428198008,Transplantation of hepatocytes (procedure)
426356008,Orthotopic transplantation of whole liver (procedure)
427022004,Liver disease due to cystic fibrosis (disorder)
737297006,Transplanted liver present
29633007,Glycogen storage disease
11179002,"Glycogen storage disease, type IV"
399187006,Hemochromatosis (disorder)
399144008,Bronze diabetes (disorder)
35400008,Hereditary hemochromatosis
776981000000103,Cirrhosis associated with cystic fibrosis (disorder)
760421000000100,Hepatitis C viral ribonucleic acid polymerase chain reaction positive (finding)
812181000000106,Hepatitis C antigen positive (finding)
824841000000105,Hepatitis C genotype 1 (disorder)
824851000000108,Hepatitis C genotype 2 (disorder)
824871000000104,Hepatitis C genotype 3 (disorder)
824881000000102,Hepatitis C genotype 4 (disorder)
773411000000107,Liver failure support management (procedure)
235856003,Hepatopathy
13920009,Hepatic encephalopathy
426841006,Fiberoptic endoscopic rubber band ligation of upper gastrointestinal tract varices (procedure)
400381000000101,[V]Assessment for liver transplant (situation
536002,Glissonian cirrhosis
