MedCodeID,Description
4908981000006117,HMI - Hypomelanosis of Ito
4909001000006119,Hypomelanosis of Ito
4908971000006115,Incontinentia pigmenti achromians syndrome
4908991000006119,Incontinentia pigmenti achromicans of Ito
5339611000006118,"Ash leaf spot, tuberous sclerosis"
5339621000006114,Shagreen patch
3080491000006118,Adenoma sebaceum
3080521000006116,Angiokeratoma in tuberous sclerosis
3080501000006114,Facial angiofibroma
3080481000006116,Pringle tumor
3080511000006112,Pringle tumour
3080461000006114,Fibrous skin tumour of tuberous sclerosis
3080471000006119,Fibrous skin tumor of tuberous sclerosis
3104771000006114,Griscelli syndrome with immunodeficiency
3104741000006118,Hypopigmentation-immunodeficiency disease
3104751000006116,Griscelli syndrome
3104761000006119,Chediak-Higashi-like syndrome
3104781000006112,Partial albinism with immunodeficiency
3266911000006110,"Waardenburg, types I AND/OR II"
79083016,Waardenburg's syndrome
3266921000006119,White forelock syndrome
3266931000006116,Waardenburg syndrome
3461271000006115,X-linked copper deficiency
3461291000006119,Trichopoliodystrophy
3461331000006114,Congenital hypocupraemia
3461251000006113,Menkes disease
3461321000006111,Kinky hair disease
698811000006110,Menkes syndrome
3461361000006117,Steely hair disease
3461301000006118,Steely hair syndrome
583361000006118,Congenital kinking hair
3461341000006116,MK - Menkes syndrome
754291000006111,Kinky hair syndrome
3461281000006117,Copper transport disease
3461241000006111,Menkes kinky-hair syndrome
3461371000006112,Menke's kinky hair syndrome
3461261000006110,Congenital hypocupremia
3461351000006119,MNK - Menkes syndrome
7740161000006119,Shah Waardenburg syndrome
7740131000006111,Waardenburg Shah syndrome
7740171000006114,Waardenburg syndrome type 4
7740151000006116,Waardenburg Hirschsprung syndrome
7740141000006118,Waardenburg syndrome co-occurrent with Hirschsprung disease
11748010,Piebaldism
12874011,Bourneville's disease
2614611000006116,Adenoma sebaceum syndrome
2614601000006119,Bourneville's disease
12876013,Epiloia
12877016,Tuberous sclerosis
2614641000006117,TS - Tuberous sclerosis
2614591000006110,Tuberous sclerosis syndrome
893531000006119,Tuberose sclerosis
12029821000006112,Neurologic Waardenburg Shah syndrome
12029831000006110,"PCWH - peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome, Hirschsprung disease"
12029811000006116,"Peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome, Hirschsprung disease"
2648591000006114,Albinism with hemorrhagic diathesis
2648621000006111,Hermansky Pudlak syndrome
2648611000006115,Albinism with haemorrhagic diathesis
16343015,Hermansky-Pudlak syndrome
2648601000006118,Alpha storage pool disease
11747017,Partial albinism
