MedCodeID,Description
9309901000006112,Irritant contact dermatitis caused by detergent
9309911000006110,Irritant contact dermatitis caused by rubber
308587010,Irritant contact dermatitis caused by chemical
9309941000006114,Irritant contact dermatitis caused by metal
9309951000006111,Allergic contact dermatitis caused by latex
9309971000006118,Allergic contact dermatitis caused by plant
308581011,"Allergic contact dermatitis due to plants, except food"
9309981000006115,Allergic contact dermatitis caused by pollen
308579014,Allergic contact dermatitis due to other chemical products
362991000006116,Allergic contact dermatitis caused by chemical
2673381000006114,Allergic dermatitis due to Rhus venenata
2673371000006111,Allergic dermatitis due to poison sumac
2673411000006112,Allergic dermatitis caused by Rhus venenata
2673421000006116,Allergic dermatitis caused by poison sumac
591081000006111,Contact dermatitis due to poison sumac
2673391000006112,Contact dermatitis caused by poison sumac
2673361000006116,Contact dermatitis due to Rhus venenata
2673401000006114,Contact dermatitis caused by Rhus venenata
4189031000006112,ICD - Irritant contact dermatitis
4189021000006114,Non-allergic contact dermatitis
309321019,[X]Irritant contact dermatitis due to other agents
1775284012,Irritant contact dermatitis
4189011000006118,Primary irritant dermatitis
394521000006117,[X]Irritant contact dermatitis due to oth chemical products
4192311000006112,Acute contact dermatitis
4192331000006118,Contact dermatitis caused by phenol
591021000006112,Contact dermatitis due to phenol
4192351000006113,Contact dermatitis caused by insecticide
178428014,Contact dermatitis due to insecticide
4192591000006111,Photoallergic dermatitis
4192621000006113,Allergic photocontact eczema
4192611000006117,Photoallergic eczema
4192601000006115,Photoallergic contact dermatitis
20373018,Contact dermatitis due to solar radiation
2687981000006114,Contact dermatitis caused by solar radiation
308573010,Contact dermatitis due to solar radn NOS
889241000006114,Contact dermatitis: sun
308562015,Unspecified contact dermatitis due to solar radiation
4354931000006113,Generalised exfoliative contact dermatitis
4354941000006115,Generalized exfoliative contact dermatitis
8039591000006116,Contact dermatitis caused by adhesive bandage
9897451000006110,Allergic contact dermatitis caused by metal
399916012,Allergic contact dermatitis due to metal
2784701000006117,Contact dermatitis caused by fungicide
590781000006115,Contact dermatitis due to fungicide
2798281000006112,Contact dermatitis caused by fruit
31691015,Contact dermatitis due to fruit
4804271000006111,Contact dermatitis caused by chlorocompound group
4804261000006116,Contact dermatitis due to chlorocompound group
4804281000006114,Contact dermatitis caused by chlorocompound
308509010,Contact dermatitis due to chlorocompound
4804321000006115,Contact dermatitis caused by cyclohexane group
4804301000006113,Contact dermatitis due to cyclohexane group
308510017,Contact dermatitis due to cyclohexane
4804311000006111,Contact dermatitis caused by cyclohexane
4804361000006114,Contact dermatitis caused by ester group
4804351000006112,Contact dermatitis caused by ester
4804341000006110,Contact dermatitis due to ester group
308511018,Contact dermatitis due to ester
4804391000006118,Contact dermatitis caused by glycol group
308512013,Contact dermatitis due to glycol
4804401000006116,Contact dermatitis caused by glycol
4804381000006116,Contact dermatitis due to glycol group
4804421000006114,Contact dermatitis caused by hydrocarbon
308513015,Contact dermatitis due to hydrocarbon
4804451000006117,Contact dermatitis caused by ketone group
4804461000006115,Contact dermatitis caused by ketone
4804441000006119,Contact dermatitis due to ketone group
308514014,Contact dermatitis due to ketone
4804471000006110,Contact dermatitis due to keratolytic
4804501000006115,Contact dermatitis caused by keratolytic agent
4804491000006111,Contact dermatitis due to keratolytic agent
4804511000006117,Contact dermatitis caused by keratolytic
308519016,Contact dermatitis due to keratolytics
4804531000006111,Contact dermatitis due to acid
308528015,Contact dermatitis due to acids
4804541000006118,Contact dermatitis caused by acid
4804571000006114,Contact dermatitis caused by alkali
308532014,Contact dermatitis due to alkalis
4804551000006116,Contact dermatitis due to alkali
308533016,Contact dermatitis due to caustics
4804601000006119,Contact dermatitis due to caustic agent
4804611000006116,Contact dermatitis caused by caustic agent
4804581000006112,Contact dermatitis due to caustic
4804621000006112,Contact dermatitis caused by caustic
308560011,Contact dermatitis due to plants NOS
308552010,Contact dermatitis due to plants
4804651000006115,Contact dermatitis caused by plants
889231000006116,Contact dermatitis:food/plants
4804681000006111,Allergic dermatitis due to Rhus toxicodendron
4804731000006118,Contact dermatitis caused by poison-ivy
4804711000006112,Contact dermatitis caused by poison ivy
591091000006114,Contact dermatitis due to poison-vine
4804741000006111,Contact dermatitis caused by Rhus toxicodendron
308554011,Contact dermatitis due to poison-ivy
4804691000006114,Contact dermatitis due to Rhus toxicodendron
4804661000006118,Contact dermatitis due to poison ivy
4804721000006116,Allergic dermatitis caused by Rhus toxicodendron
4804751000006113,Allergic dermatitis caused by poison ivy
4804701000006114,Allergic dermatitis due to poison ivy
4804781000006117,Contact dermatitis caused by poison oak
4804761000006110,Contact dermatitis due to poison oak
308555012,Contact dermatitis due to poison-oak
308568016,Photocontact dermatitis [berloque dermatitis]
11782161000006111,Berloque dermatitis
4804851000006119,Photocontact dermatitis
11904801000006117,Photocontact dermatitis [berloque dermatitis]
4804901000006112,Allergic contact dermatitis caused by adhesive
308575015,Allergic contact dermatitis due to adhesives
4804881000006110,Allergic contact dermatitis due to adhesive
4804911000006110,Allergic contact dermatitis due to cosmetic
308576019,Allergic contact dermatitis due to cosmetics
4804931000006116,Allergic contact dermatitis caused by cosmetic
477331000006119,Allergic contact dermatitis due to drugs in contact with the skin
4804961000006113,Allergic contact dermatitis caused by drug in contact with skin
4804941000006114,Allergic contact dermatitis due to drug in contact with skin
4804971000006118,Allergic contact dermatitis due to dye
308578018,Allergic contact dermatitis due to dyes
4804991000006117,Allergic contact dermatitis caused by dye
4805011000006110,Allergic contact dermatitis caused by food in contact with skin
477371000006116,Allergic contact dermatitis due to food in contact with the skin
4805031000006116,"Allergic contact dermatitis caused by plants, except food"
12482571000006119,"Allergic contact dermatitis due to plants, except food"
4805061000006113,Irritant contact dermatitis due to cosmetic
4805081000006115,Irritant contact dermatitis caused by cosmetic
308585019,Irritant contact dermatitis due to cosmetics
4805111000006114,Irritant contact dermatitis caused by drug in contact with skin
745631000006113,Irritant contact dermatitis due to drugs in contact with the skin
4805091000006117,Irritant contact dermatitis due to drug in contact with skin
745641000006115,Irritant contact dermatitis due to food in contact with the skin
4805121000006118,Irritant contact dermatitis due to food in contact with skin
4805141000006113,Irritant contact dermatitis caused by food in contact with skin
308589013,"Irritant contact dermatitis due to plants, except food"
4805161000006112,"Irritant contact dermatitis caused by plants, except food"
4805231000006114,Contact dermatitis caused by fur
308609016,Contact dermatitis due to furs
4805211000006115,Contact dermatitis due to fur
308618019,Contact dermatitis due to preservatives
4805251000006119,Contact dermatitis caused by preservatives
591201000006113,Contact dermatitis due to ultra-violet rays (excluding sun)
4805261000006117,Contact dermatitis due to ultraviolet rays (excluding sunlight)
4805271000006112,Contact dermatitis caused by ultraviolet rays (excluding sunlight)
4805291000006113,Contact dermatitis caused by casting materials
308622012,Contact dermatitis due to casting materials
889211000006110,Contact dermatitis : solvents
308515010,Contact dermatitis due to solvent NOS
38664014,Contact dermatitis due to solvents
2866881000006113,Contact dermatitis caused by solvents
98560010,Contact dermatitis due to cold weather
5122411000006116,Cold-induced dermatosis
357558018,Grease contact dermatitis
357559014,Oil contact dermatitis
357560016,Elastoplast contact dermatitis
357561017,Egg contact dermatitis
357562012,Lanolin contact dermatitis
357563019,Perfume contact dermatitis
309319012,[X]Allergic contact dermatitis due to other agents
357566010,Allergic contact dermatitis
5123451000006113,ACD - Allergic contact dermatitis
5123461000006110,Implant allergic nickel contact dermatitis
5123471000006115,Ingested allergen contact dermatitis
1781705012,Occupational allergic contact dermatitis
5123491000006119,Industrial dermatitis
5123501000006110,Subacute irritant contact dermatitis
5123511000006113,Chronic irritant contact dermatitis
5123521000006117,Wear and tear dermatitis
5123541000006112,Lip licking eczema
5123531000006119,Saliva-induced contact dermatitis
5123561000006111,Feces-induced contact dermatitis
5123551000006114,Faeces-induced contact dermatitis
5124911000006117,Lichenoid allergic contact dermatitis
591151000006116,Contact dermatitis due to scabicide
2924921000006113,Contact dermatitis caused by scabicide
12484451000006116,Contact or allergic eyelid dermatitis
5502001000006111,Contact dermatitis caused by oil and grease
399913016,Contact dermatitis due to oils and greases
5501981000006111,Contact dermatitis due to oil and grease
5624761000006116,Heat-induced dermatosis
81109013,Contact dermatitis due to hot weather
590831000006112,Contact dermatitis due to infra-red rays
5721421000006111,Contact dermatitis - foods/plants
308527013,Contact dermatitis caused by chemical
308539017,Contact dermatitis: other chemicals NOS
2990471000006118,Contact dermatitis due to detergent
2990491000006117,Contact dermatitis caused by detergent
50967012,Contact dermatitis due to detergents
53389017,Contact dermatitis due to plastic
3014601000006115,Contact dermatitis caused by plastic
54060018,Contact dermatitis due to neomycin
3021441000006112,Contact dermatitis caused by neomycin
8110241000006115,Allergic contact dermatitis of right upper eyelid
8110261000006116,Allergic contact dermatitis of right lower eyelid
8110271000006111,Allergic contact dermatitis of right eyelid
8110281000006114,Allergic contact dermatitis of left upper eyelid
8110291000006112,"Contact dermatitis, left upper eyelid"
8110301000006113,"Contact dermatitis, L upper eyelid"
8110311000006111,Allergic contact dermatitis of left lower eyelid
8110321000006115,Allergic contact dermatitis of left eyelid
3088971000006113,Contact dermatitis caused by fish
60975016,Contact dermatitis due to fish
6662581000006119,Allergic contact dermatitis of eyelid
6662621000006119,Allergic contact dermatitis of perianal skin
6662641000006114,Allergic eczema of hands
6662631000006116,Allergic contact dermatitis of hands
6662651000006111,Allergic contact dermatitis of lower leg
6662661000006113,Allergic contact dermatitis of male genitalia
6662671000006118,Allergic contact dermatitis of female genitalia
6662741000006115,Cumulative irritant contact dermatitis of hands due to wet work
6662761000006116,Housewife's eczema
6662781000006114,Cumulative irritant contact hand eczema caused by wet work
6662751000006118,Cumulative irritant contact hand eczema due to wet work
6662771000006111,Cumulative irritant contact dermatitis of hands caused by wet work
6662801000006113,Irritant contact dermatitis of hands due to oil and/or grease
6662811000006111,Irritant contact dermatitis of hands caused by oil and/or grease
6662821000006115,Irritant contact dermatitis of hands due to solvent
6662831000006117,Irritant contact dermatitis of hands caused by solvent
6662851000006112,Irritant contact dermatitis caused by metal swarf
6662841000006110,Irritant contact dermatitis due to metal swarf
6662861000006114,Irritant contact dermatitis due to cement
6662871000006119,Irritant contact dermatitis caused by cement
6662881000006116,Irritant contact dermatitis of hands due to cement
6662891000006118,Irritant contact dermatitis of hands caused by cement
6662911000006116,Wear and tear dermatitis of hands
6662901000006119,Irritant contact dermatitis of hands due to friction
6662921000006112,Irritant contact dermatitis of hands caused by friction
6662931000006110,Irritant contact dermatitis due to chlorine
6662941000006117,Irritant contact dermatitis caused by chlorine
6662951000006115,Irritant contact dermatitis due to biocide
6662961000006118,Irritant contact dermatitis caused by biocide
6662971000006113,Cumulative irritant contact dermatitis of hands
6662981000006111,Cumulative irritant contact dermatitis
6663031000006119,Irritant contact dermatitis caused by contact with urine and/or feces
6663011000006113,Ammonia dermatitis
6663021000006117,Irritant contact dermatitis caused by contact with urine and/or faeces
6663001000006110,Irritant contact dermatitis due to contact with urine and/or feces
6662991000006114,Irritant contact dermatitis due to contact with urine and/or faeces
2233571000000112,Incontinence-associated dermatitis
6663041000006112,Irritant contact dermatitis due to incontinence
2233581000000114,Moisture lesion
11880261000006118,Incontinence associated dermatitis
6663081000006118,Irritant contact dermatitis due to stoma and/or fistula
6663091000006115,Irritant contact dermatitis due to stoma/fistula
6663101000006114,Irritant contact dermatitis due to ileostomy
6663111000006112,Irritant contact dermatitis due to colostomy
