SNOMEDCTCodes,Description
190502001,Pituitary-dependent Cushing's disease (disorder)
237735008,Adrenal Cushing's syndrome (disorder)
79398006,Hypercortisolism due to adrenal neoplasm (disorder)
67967009,Cushingoid facies (finding)
47270006,Hypercortisolism (disorder)
237734007,Adrenocorticotropic hormone-dependent Cushing syndrome (disorder)
88803002,Hypercortisolism due to pituitary adenoma (disorder)
43019009,Nelson syndrome (disorder)
237736009,Cyclical Cushing's syndrome (disorder)
720459002,Hypercortisolism due to macronodular adrenal hyperplasia (disorder)
626004,Hypercortisolism due to nonpituitary tumor (disorder)
41299009,Iatrogenic Cushing's disease (disorder)
190501008,Idiopathic Cushing's syndrome (disorder)
162686009,On examination - steroid facies (finding)
53509000,Myopathy in Cushing's disease (disorder)
403253001,Hypermelanosis due to Cushing syndrome (disorder)
