CTV3Codes,Description
X20GW,Cutaneous sarcoid
X20GX,Orofacial sarcoid
X20GY,Lupus pernio
X5089,Acute skin sarcoidosis
X508A,Sarcoidosis-induced erythema nodosum
X508B,Lofgrens syndrome
X508C,Maculopapular sarcoidosis
X508D,Chronic skin sarcoidosis
X508E,Sarcoidosis in scar
X508F,Papular sarcoidosis
X508G,Lichenoid sarcoidosis
X508H,Nodular sarcoidosis
X508I,Angiolupoid sarcoidosis
X00YQ,Sarcoid skin of eyelid
X20G5,Sarcoid dactylitis
X50Dy,Subacute nodular migratory panniculitis
X50Dz,Subcutaneous lipogranulomatosis
