SNOMEDCTCodes,Description
55941000,Cutaneous sarcoidosis (disorder)
238680003,Papular sarcoidosis (disorder)
238679001,Sarcoidosis in scar (disorder)
402369000,Atrophic sarcoidosis (disorder)
402371000,Verrucous sarcoidosis (disorder)
238681004,Lichenoid sarcoidosis (disorder)
238674006,Acute skin sarcoidosis (disorder)
402370004,Ulcerative sarcoidosis (disorder)
58870009,"Sarcoidosis, anular type (disorder)"
54515008,"Sarcoidosis, plaque type (disorder)"
80941006,Subcutaneous sarcoidosis (disorder)
870334009,Palmoplantar sarcoidosis (disorder)
238678009,Chronic skin sarcoidosis (disorder)
238677004,Maculopapular sarcoidosis (disorder)
402368008,Ichthyosiform sarcoidosis (disorder)
402373002,Hypomelanotic sarcoidosis (disorder)
9529007,"Sarcoidosis, erythrodermic type (disorder)"
72470008,"Sarcoidosis, lupus pernio type (disorder)"
402372007,Subcutaneous nodular sarcoidosis (disorder)
238675007,Sarcoidosis-induced erythema nodosum (disorder)
238676008,Lofgrens syndrome (disorder)
31541009,Lupus pernio of Besnier
231799005,Sarcoid skin of eyelid (disorder)
