SNOMEDCTCodes,Description
10171000132106,Behavioral and psychological symptoms of dementia (finding)
10349009,Multi-infarct dementia with delirium
10532003,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression"
105421000119105,Early onset Alzheimer's disease with behavioral disturbance
106021000119105,Multi-infarct dementia due to atherosclerosis (disorder)
1089521000000106,Predominantly cortical dementia (disorder)
111480006,Psychoactive substance-induced organic dementia
12348006,Presenile dementia
12741002,AIDS with dementia
130121000119104,Dementia due to Rett's syndrome (disorder)
13092008,Pick's disease
134422007,Alzheimer's disease with early onset
134423002,Alzheimer's disease with late onset
135811000119107,Lewy body dementia with behavioral disturbance
138736007,H/O: dementia
14070001,Multi-infarct dementia with depression
141991000119109,Delusions in Alzheimer's disease
142001000119106,Depressed mood in Alzheimer's disease
142011000119109,Alzheimer's disease co-occurrent with delirium (disorder)
142811000119104,Dementia due to Alzheimers disease
154845000,Dementia (& [presenile] or [senile])
154846004,Uncomplicated senile dementia
154847008,Presenile dementia
154848003,Senile dementia with depressive or paranoid features
154849006,Senile dementia with delirium
154850006,Vascular dementia
154851005,Other senile/presenile dementia
154854002,Korsakov psychosis
154998003,Cerebral degenerations NOS &/or Alzheimer's disease &/or Pick's disease &/or Reye's syndrome
155061007,Creutzfeldt-Jakob disease
15662003,Senile dementia
1581000119101,Dementia of the Alzheimer type with behavioural disturbance
1591000119103,Dementia with behavioral disturbance
161465002,H/O: dementia
16219201000119101,Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia (disorder)
16276361000119109,Vascular dementia without behavioral disturbance (disorder)
17262008,Non-alcoholic Korsakoff's psychosis
191448002,Senile and presenile organic psychotic conditions (& dementia)
191449005,Uncomplicated senile dementia
191450005,Presenile dementia
191451009,Uncomplicated presenile dementia
191452002,Presenile dementia with delirium
191454001,Presenile dementia with paranoia
191455000,Presenile dementia with depression
191456004,Presenile dementia NOS
191457008,Senile dementia with depressive or paranoid features
191458003,Senile dementia with paranoia
191459006,Senile dementia with depression
191460001,Senile dementia with depressive or paranoid features NOS
191461002,Senile dementia with delirium
191462009,Arteriosclerotic dementia (including [multi infarct dementia])
191463004,Uncomplicated arteriosclerotic dementia
191464005,Arteriosclerotic dementia with delirium
191465006,Arteriosclerotic dementia with paranoia
191466007,Arteriosclerotic dementia with depression
191467003,Arteriosclerotic dementia NOS
191468008,(Other senile and presenile organic psychoses) or (presbyophrenic psychosis)
191469000,Senile or presenile psychoses NOS
191470004,Korsakov psychosis
191471000,Korsakov's alcoholic psychosis with peripheral neuritis
191472007,Wernicke-Korsakov syndrome
191474008,Alcoholic dementia: [other] or [NOS]
191493005,Drug-induced dementia
191519005,Dementia in conditions EC
192160005,[X]Dementia in Alzheimer's disease
192161009,Dementia in Alzheimer's disease with early onset
192162002,Dementia in Alzheimer's disease with late onset
192163007,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
192164001,"[X]Dementia in Alzheimer's disease, unspecified"
192165000,Vascular dementia
192166004,Vascular dementia of acute onset
192167008,[X]Dementia: [multi-infarct] or [predominantly cortical]
192168003,Subcortical vascular dementia
192169006,Mixed cortical and subcortical vascular dementia
192170007,[X]Other vascular dementia
192171006,"[X]Vascular dementia, unspecified"
192173009,[X]Dementia in other diseases classified elsewhere
192174003,[X]Dementia in Pick's disease
192175002,[X]Dementia in Creutzfeldt-Jakob disease
192176001,[X]Dementia in Huntington's disease
192177005,[X]Dementia in Parkinson's disease
192178000,Acquired immune deficiency syndrome dementia complex
192179008,[X]Dementia in other specified diseases classif elsewhere
192180006,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type]
192213005,"[X]Korsakov's psychosis, alcohol-induced"
192802002,Dementia in Alzheimer's disease with early onset
192803007,Dementia in Alzheimer's disease with late onset
192808003,Lewy body disease
192818008,Cerebral degeneration due to Creutzfeldt-Jakob disease
192819000,Cerebral degeneration due to progressive multifocal leukoencephalopathy
193172009,Prion protein disease
194481000,[X]Other Alzheimer's disease
20484008,Prion disease
21921000119103,Dementia due to Pick's disease
22381000119105,Primary degenerative dementia
229672009,Language disorder of dementia
230258005,Amyotrophic lateral sclerosis with dementia
230265002,Familial Alzheimer's disease of early onset
230266001,Non-familial Alzheimer's disease of early onset
230267005,Familial Alzheimer's disease of late onset
230268000,Non-familial Alzheimer's disease of late onset
230269008,Focal Alzheimer's disease
230270009,Frontotemporal dementia
230271008,Pick's disease with Pick bodies
230272001,Pick's disease with Pick cells and no Pick bodies
230273006,Lobar atrophy
230274000,Frontal lobe degeneration with motor neurone disease
230275004,Lewy body disease
