SNOMEDCTCodes,Description
55560002,Disseminated herpes zoster (disorder)
13710008,Disseminated herpes simplex (disorder)
16592009,Visceral herpes simplex (disorder)
1142085005,Disseminated perinatal varicella (disorder)
448784003,Sepsis due to herpes simplex (disorder)
1087101000119109, Herpes simplex hepatitis (disorder)
233624006,Herpes simplex pneumonia (disorder
1163480007, Duodenitis caused by human herpes simplex virus (disorder)
240477008,Esophageal herpes simplex infection (disorder)
721768006, Infection of central nervous system caused by Herpes simplex virus (disorder)
427796004,Encephalitis caused by human herpes simplex virus (disorder)
1144966008,Encephalitis caused by Herpes simplex virus 1 (disorder)
1144968009,Encephalitis caused by Herpes simplex virus 2 (disorder)
76474001,Herpetic acute necrotizing encephalitis (disorder)
9678009,Meningoencephalitis caused by human herpes simplex virus (disorder)
23291008,Meningitis caused by Human herpes simplex virus (disorder)
1179379002,Meningitis caused by Human alphaherpesvirus 1 (disorder)
1179380004,Meningitis caused by Human alphaherpesvirus 2 (disorder)
426599002,Myelitis caused by Human herpes simplex virus (disorder)
866132005,Myelitis caused by Herpes simplex type 1 (disorder)
866130002,Myelitis caused by Herpes simplex type 2 (disorder)
98541000119101,Herpes zoster myelitis (disorder)
230198004,Varicella transverse myelitis (disorder)
10491005, Meningitis caused by Human alphaherpesvirus 3 (disorder)
24059009,Acute cerebellar ataxia caused by varicella (disorder)
230176008, Herpes zoster encephalitis (disorder)
195911009, Chickenpox pneumonia (disorder)
1179456002, Esophagitis caused by Human alphaherpesvirus 3 (disorder)
31920006,Hemorrhagic varicella pneumonitis (disorder)
12571000132104, Pneumonitis due to Herpes zoster (disorder)
