MedCodeID,Description
706441000006117,Herpes zoster with meningitis
1219080012,Herpes zoster meningitis
2666881000006119,Varicella-zoster meningitis
18244018,Herpes zoster with meningitis
1219078018,Varicella meningitis
8466051000006110,Herpes simplex hepatitis
7996391000006110,Pneumonitis due to Herpes zoster
2717421000006112,Disseminated herpes simplex
28067012,Visceral herpes simplex
301400016,Varicella pneumonitis
4781321000006117,Chicken pox pneumonia
220251000006118,Chickenpox pneumonia
4781311000006113,Varicella pneumonia
344957015,Zoster encephalitis
640911000006110,Encephalitis due to herpes zoster
344958013,Herpes zoster encephalitis
344996014,Varicella transverse myelitis
1223061016,Meningitis due to herpes simplex virus
822051000006117,Herpes simplex meningitis
2871521000006111,Herpesviral meningitis
39094012,Herpes simplex meningitis
350073012,Herpes simplex pneumonia
5148291000006110,Herpes simplex esophagitis
5148271000006114,Oesophageal herpes simplex infection
5148301000006111,Esophageal herpes simplex infection
5148281000006112,Herpes simplex oesophagitis
2883831000006118,Acute cerebellar ataxia caused by varicella
2883821000006116,Varicella cerebellar ataxia
2883811000006112,Acute cerebellar ataxia due to varicella
3014191000006116,Hemorrhagic varicella pneumonitis
3014181000006119,Haemorrhagic varicella pneumonitis
7061601000006110,Myelitis caused by herpes simplex
7061591000006119,Myelitis due to herpes simplex
640901000006112,Encephalitis due to human herpes simplex virus
822021000006114,Herpes simplex encephalitis
7078931000006112,Encephalitis caused by human herpes simplex virus
495285017,Herpes simplex septicaemia
7360131000006115,Sepsis due to herpes simplex
7360141000006113,Sepsis caused by herpes simplex
625341000006116,Disseminated herpes zoster
7822791000006111,Herpes simplex infection of central nervous system
7822781000006113,Infection of central nervous system caused by Herpes simplex virus
3743981000006112,Herpetic acute necrotizing encephalitis
3743971000006114,Herpetic acute necrotising encephalitis
16921016,Herpetic meningoencephalitis
8031011000006118,Herpes zoster myelitis
286689014,Encephalitis following chickenpox
641091000006111,Encephalitis due to varicella
