MedCodeID,Description
8464451000006111,Perforation of cecum due to diverticulitis
8464441000006114,Perforation of caecum due to diverticulitis
8464521000006115,Abscess of duodenum co-occurrent and due to diverticulitis
8464611000006112,Perforation of duodenum due to diverticulitis
8464631000006118,Abscess of ileum co-occurrent and due to diverticulitis
8464681000006117,Perforation of ileum due to diverticulitis
8464701000006119,Abscess of jejunum co-occurrent and due to diverticulitis
8464761000006118,Abscess of sigmoid colon co-occurrent and due to diverticulitis
8464831000006119,Perforation of sigmoid colon due to diverticulitis
8464911000006118,Diverticulitis of small and large intestine with perforation
8464921000006114,Perforation of large and small intestine due to diverticulitis
8464951000006117,Hemorrhage of small intestine due to diverticulitis
8464941000006119,Haemorrhage of small intestine due to diverticulitis
8464991000006111,Perforation of small intestine co-occurrent with hemorrhage due to diverticulitis
8464981000006113,Perforation of small intestine co-occurrent with haemorrhage due to diverticulitis
8465011000006118,Perforation of small intestine due to diverticulitis
8465071000006110,Perforation of intestine due to diverticulitis of gastrointestinal tract
8465101000006117,Hemorrhage of cecum due to diverticulosis
8465091000006111,Haemorrhage of caecum due to diverticulosis
11886621000006111,Hemorrhage with diverticulosis of duodenum
8465121000006110,Haemorrhage of duodenum co-occurrent and due to diverticulosis
8465131000006113,Hemorrhage of duodenum co-occurrent and due to diverticulosis
11886631000006114,Haemorrhage with diverticulosis of duodenum
8465161000006116,Hemorrhage of ileum co-occurrent and due to diverticulosis
11833961000006110,Hemorrhage with diverticulosis of ileum
11833951000006113,Haemorrhage with diverticulosis of ileum
8465151000006118,Haemorrhage of ileum co-occurrent and due to diverticulosis
11855791000006116,Haemorrhage of jejunum with diverticulosis
8465181000006114,Haemorrhage of jejunum co-occurrent and due to diverticulosis
8465191000006112,Hemorrhage of jejunum co-occurrent and due to diverticulosis
11855801000006115,Hemorrhage of jejunum with diverticulosis
8465231000006119,Intestinal haemorrhage co-occurrent and due to diverticulosis
11794811000006113,Intestinal haemorrhage with diverticulosis
8465241000006112,Intestinal hemorrhage co-occurrent and due to diverticulosis
11794801000006110,Intestinal hemorrhage with diverticulosis
4179611000006117,Perforated diverticulitis
4194631000006115,Diverticulosis of jejunum without diverticulitis
626681000006110,Diverticulitis of jejunum
626651000006119,Diverticulitis of colon
8037121000006116,History of diverticulitis
4353881000006117,Obstructive diverticulitis
4353901000006115,Hemorrhagic diverticulitis
4353891000006119,Haemorrhagic diverticulitis
2787941000006114,Diverticulitis
8053501000006112,Hemorrhage of colon due to diverticulosis
8053491000006116,Haemorrhage of colon due to diverticulosis
303123015,Diverticulosis of the duodenum
11878561000006111,Diverticulosis of duodenum
11784311000006118,Diverticulosis of jejunum
4786071000006110,Diverticula of jejunum
303124014,Diverticulosis of the jejunum
4786061000006115,Diverticulum of jejunum
303126011,Diverticulosis of the ileum
4786081000006113,Diverticulosis of ileum
626561000006118,Diverticular disease of both small and large intestine without perforation or abscess
11823181000006117,Hemorrhage of large intestine with diverticular disease of large intestine
11823171000006115,Bleeding diverticulosis of large intestine
11823151000006113,Hemorrhage of large intestine co-occurrent and due to diverticular disease of large intestine
11823161000006110,Haemorrhage of large intestine co-occurrent and due to diverticular disease of large intestine
303134017,Bleeding diverticulosis
11823191000006119,Haemorrhage of large intestine with diverticular disease of large intestine
626571000006113,Diverticular disease of both small and large intestine with perforation and abscess
11851201000006116,Perforation and abscess with diverticular disease of small and large intestine
11851191000006119,Perforation and abscess co-occurrent and due to diverticular disease of both small and large intestine
11876441000006112,Abscess of colon co-occurrent and due to diverticular disease of colon
5085371000006111,Colonic diverticular abscess
353440011,Diverticular abscess
11876451000006114,Abscess with diverticular disease of colon
5085411000006112,Solitary diverticulum of right side of colon
5085401000006114,Diverticular disease of right side of colon
5334541000006116,Congenital diverticulosis
5523901000006112,Diverticulitis of gastrointestinal tract
5531981000006119,Uncomplicated diverticular disease
5531971000006117,Simple diverticular disease
11879141000006114,Simple diverticular disease of large intestine
11784811000006114,Disorder co-occurrent and due to diverticular disease of large intestine
5531991000006116,Complicated diverticular disease
11784801000006111,Complicated diverticular disease of large intestine
5532001000006119,Severe diverticular disease
5689211000006119,Diverticular disease of left side of colon
485644015,Diverticulitis of the duodenum
3044531000006116,Diverticulitis of duodenum
303135016,Diverticulosis
1777478012,Diverticular disease
303136015,Diverticulosis NOS
11924441000006111,Diverticulosis unspecified
6594231000006117,DD - Diverticular disease
886341000006110,Diverticular disease NOS
1786007012,Diverticulosis
1786077011,Diverticular disease of colon
6597011000006113,Diverticulosis of the colon
11851211000006118,Symptomatic diverticulosis of colon
6597001000006110,Diverticulosis of colon
11784321000006114,Symptomatic diverticulosis of large intestine
303131013,Diverticulosis of the large intestine unspecified
303132018,Diverticular disease of large intestine
11859261000006116,Haemorrhage of small intestine with diverticulosis
11859251000006118,Haemorrhage of small intestine co-occurrent and due to diverticulosis
8016451000006111,Haemorrhage of small intestine due to diverticulosis
11859241000006115,Hemorrhage of small intestine with diverticulosis
8016461000006113,Hemorrhage of small intestine due to diverticulosis
11859231000006113,Hemorrhage of small intestine co-occurrent and due to diverticulosis
7048281000006115,Diverticulosis of caecum
11830731000006112,Asymptomatic diverticulosis of cecum
11830721000006114,Asymptomatic diverticulosis of caecum
7048291000006117,Diverticulosis of cecum
7080691000006114,Diverticulitis of sigmoid colon
7080701000006114,Diverticulitis of sigmoid
7103111000006110,Diverticulosis of sigmoid colon
11831171000006119,Asymptomatic diverticulosis of sigmoid colon
7103121000006119,Diverticulosis of sigmoid
7118811000006110,Diverticulitis of caecum
7118821000006119,Diverticulitis of cecum
7127961000006113,Diverticulitis of rectosigmoid
7127971000006118,Diverticulitis of rectum
7169111000006111,Diverticulosis of rectosigmoid
11833291000006114,Asymptomatic diverticulosis of rectosigmoid
7175681000006118,Diverticulosis of rectum
7303781000006111,Bleeding Meckel diverticulitis
7303771000006113,Bleeding Meckel's diverticulitis
303144015,Diverticulitis of large intestine
303143014,Diverticulitis of the large intestine unspecified
3235631000006110,Diverticulosis of large intestine without diverticulitis
11828721000006113,Perforation co-occurrent and due to diverticular disease of colon
11828731000006111,Perforation with diverticular disease of colon
3279391000006119,Diverticulosis of colon with perforation
3280451000006118,Meckel diverticulitis
3280441000006115,Meckel's diverticulitis
7981961000006110,Abscess of intestine co-occurrent and due to diverticular disease
303141011,Diverticulitis of the small intestine unspecified
303142016,Diverticulitis of small intestine
11878531000006119,Asymptomatic diverticulosis of intestine
11878551000006114,Diverticulosis of intestine
303159014,Diverticula of the intestine NOS
11878541000006112,Multiple diverticula of intestine
105596011,Diverticula of intestine
3533221000006117,Diverticulosis of small intestine and colon
500628015,Diverticulitis of the ileum
3591791000006115,Diverticulitis of ileum
7820761000006116,Congenital diverticulitis of small intestine
7820771000006111,Congenital diverticulosis of small intestine
7820861000006114,Diverticular disease of small and large intestine
7836991000006110,Diverticulitis of small intestine with complication
7837111000006117,Perforation and abscess of large intestine co-occurrent and due to diverticulitis
7837121000006113,Perforation and abscess of large intestine due to diverticulitis
7857551000006110,Diverticulosis of large intestine
11823141000006111,Perforation and abscess of small intestine co-occurrent and due to diverticulitis
7954561000006111,Diverticulitis of small intestine with perforation and abscess
7954681000006119,Diverticulitis of large intestine with complication
3512312014,Diverticulosis of colon
3514938015,Diverticulitis of intestine
503419012,Perforated diverticulum of colon
3751141000006117,Diverticulitis of colon with perforation
303128012,Diverticulosis of small intestine
303127019,Diverticulosis of the small intestine unspecified
2629551000006113,Diverticula of small intestine
2629541000006111,Diverticulum of small intestine
3834941000006116,Diverticulosis of duodenum without diverticulitis
2656341000006111,Diverticulosis of ileum without diverticulitis
303146018,Diverticulitis NOS
303153010,Perforated diverticulum of large intestine unspecified
303154016,Perforated diverticulum of large intestine
450775010,Diverticulitis
303145019,Diverticulitis unspecified
303147010,Perforated diverticulum
303148017,Perforated diverticulum of duodenum
303149013,Perforated diverticulum of jejunum
303150013,Perforated diverticulum of ileum
303151012,Perforated diverticulum of small intestine unspecified
303152017,Perforated diverticulum of small intestine
303156019,Perforated diverticulum of intestine
303157011,Perforated diverticulum of intestine NOS
