CTV3Codes,Description
XaL5p,Dyslipidaemia
X40Wy,Hyperlipidaemia
Xa9As,Hypercholesterolaemia
X40Wz,Primary hypercholesterolaemia
XaRG5,Low density lipoprotein receptor mutation
XaR4i,Familial hypercholesterolaemia due to homozygous low density lipoprotein receptor mutation
XaR4h,Familial hypercholesterolaemia due to heterozygous low density lipoprotein receptor mutation
X40X0,Polygenic hypercholesterolaemia
C3200,Familial hyperbetalipoproteinaemia
X40X1,Familial hypercholesterolaemia - homozygous
X40X2,Familial hypercholesterolaemia - heterozygous
X40X3,Hyperalphalipoproteinaemia
X40VY,Cholesterol ester storage disease
X40X5,Familial defective apolipoprotein B-100
X40X6,Secondary hypercholesterolaemia
C3202,"Hyperlipidaemia, group A"
C320y,Other specified pure hypercholesterolaemia
C320z,Pure hypercholesterolaemia NOS
XE11S,Pure hypercholesterolaemia
Xa9At,Hypertriglyceridaemia
X40X7,Primary hypertriglyceridaemia
X40Vo,Familial hypertriglyceridaemia
X40XA,Fredrickson type IV hyperlipoproteinaemia
X40Vp,Familial type V hyperlipoproteinaemia
X40X9,Very low density lipoprotinaemia
XE11V,Familial hyperchylomicronaemia
X40Vh,Familial lipoprotein lipase deficiency
X40XD,Fredrickson type I hyperlipoproteinaemia
X40Vi,Familial apolipoprotein C-II deficiency
X40XH,Secondary hypertriglyceridaemia
XE11T,Pure hyperglyceridaemia
XE11U,Mixed hyperlipidaemia
X40XI,Primary combined hyperlipidaemia
X40Vm,Familial combined hyperlipidaemia
X40Vn,Familial type III hyperlipoproteinaemia
X40XO,Secondary combined hyperlipidaemia
C324.,Hyperlipidaemia NOS
XE11W,Lipoprotein deficiency disorder
C3251,Hypoalphalipoproteinaemia
X40XQ,Lecithin cholesterol acyltransferase deficiency
X40Vt,Familial hypoalphalipoproteinaemia
C3253,Abetalipoproteinaemia
X40Vs,Familial hypobetalipoproteinaemia
X40XU,Familial hypobetalipoproteinaemia - homozygous form
X40XV,Familial hypobetalipoproteinaemia - heterozygous form
X40XW,Apolipoprotein A-I deficiency
X40XX,Apolipoprotein A-I variant disorder
C3250,High density lipoid deficiency
C3252,Hypo-beta-lipoproteinaemia
C325z,Lipoprotein deficiency NOS
X40Xf,Sitosterolaemia
X40Vg,Familial hyperlipoproteinaemia
C3201,Hyperbetalipoproteinaemia
X40Vq,Familial hypolipoproteinaemia
X40Vn,Remnant hyperlipidaemia
Cyu8D,[X]Other hyperlipidaemia
44P4.,Serum cholesterol very high
X40Wx,Disorder of cholesterol metabolism
X40VT,Disorder of cholesterol catabolism
