V2Codes,Description
B602.,Burkitt's lymphoma
B6020,Burkitt's lymphoma of unspecified site
B6021,"Burkitt's lymphoma of lymph nodes of head, face and neck"
B6022,Burkitt's lymphoma of intrathoracic lymph nodes
B6023,Burkitt's lymphoma of intra-abdominal lymph nodes
B6024,Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B6026,Burkitt's lymphoma of intrapelvic lymph nodes
B6027,Burkitt's lymphoma of spleen
B6028,Burkitt's lymphoma of lymph nodes of multiple sites
B602z,Burkitt's lymphoma NOS
BBq..,[M]Burkitt's tumours
BBq0.,[M]Burkitt's tumour
B6400,Mature B-cell leukaemia Burkitt-type
A7896,HIV disease resulting in Burkitt's lymphoma
B62E.,T/NK-cell lymphoma
B62E0,Mature T/NK-cell lymphoma
B62E4,"Extranodal NK/T-cell lymphoma, nasal type"
B62E8,Blastic NK-cell lymphoma
B62E9,Angioimmunoblastic T-cell lymphoma
B62Ew,Other mature T/NK-cell lymphoma
