SNOMEDCTCodes,Description
787442004,Chronic active Epstein-Barr virus disease of T and natural killer cell type infection systemic form (disorder)
128833001,Aggressive natural killer-cell leukemia (morphologic abnormality)
404136008,Aggressive natural killer-cell leukemia involving skin (disorder)
240531002,African Burkitt's lymphoma (disorder)
716788007,Epstein-Barr virus positive diffuse large B-cell lymphoma of elderly (disorder)
724647003,Diffuse large B-cell lymphoma co-occurrent with chronic inflammation caused by Epstein-Barr virus (disorder)
77381001,Burkitt lymphoma (morphologic abnormality)
419770008,Endemic Burkitt's lymphoma (morphologic abnormality)
118617000,Burkitt's lymphoma (disorder)
1255796007,Burkitt lymphoma of lymph nodes of lower limb (disorder)
1255895001, Burkitt lymphoma of lymph nodes of upper limb (disorder)
1255751000,Burkitt tumor of lymph nodes of head and neck (disorder)
1255749004,Burkitt tumor of lymph nodes of head (disorder)
1255750004,Burkitt tumor of lymph nodes of neck (disorder)
188512009,Burkitt's lymphoma of intra-abdominal lymph nodes (disorder)
188515006,Burkitt's lymphoma of intrapelvic lymph nodes (disorder)
188511002,Burkitt's lymphoma of intrathoracic lymph nodes (disorder)
188517003, Burkitt's lymphoma of lymph nodes of multiple sites (disorder)
188516007,Burkitt's lymphoma of spleen (disorder)
419094004,Immunodeficiency-associated Burkitt's lymphoma (morphologic abnormality)
713897006, Burkitt lymphoma co-occurrent with human immunodeficiency virus infection (disorder)
450906003,Systemic Epstein Barr virus positive T-cell lymphoproliferative disease of childhood (morphologic abnormality)
239940004,Lymphomatoid granulomatosis (disorder)
239297008,Lymphomatoid granulomatosis of lung (disorder)
789690008,Malignant lymphomatoid granulomatosis of lung (disorder)
878858004,Malignant lymphomatoid granulomatosis grade 3 of lung (disorder)
878857009,Malignant lymphomatoid granulomatosis grade 3 (disorder)
721311006,Systemic Epstein-Barr virus positive T-cell lymphoproliferative disease of childhood (disorder)
716586009,Carcinoma of stomach due to Epstein-Barr virus disease (disorder)
1268488004,Primary carcinoma of stomach due to Epstein-Barr virus disease (disorder)
1155771008,Post-transplantation lymphoproliferation (morphologic abnormality)
782919005,Classical Hodgkin lymphoma type posttransplant lymphoproliferative disorder (morphologic abnormality)
397351004,"Post-transplant lymphoproliferative disorder, polymorphic (morphologic abnormality)"
414166008,"Extranodal natural killer/T-cell lymphoma, nasal type (disorder)"
789177000,Lymphomatoid granulomatosis (morphologic abnormality)
789178005,Lymphomatoid granulomatosis grade 1 (morphologic abnormality)
789179002,Lymphomatoid granulomatosis grade 2 (morphologic abnormality)
878856000,Malignant lymphomatoid granulomatosis (morphologic abnormality)
788566005,Malignant lymphomatoid granulomatosis grade 3 (morphologic abnormality)
254290004,Lymphoproliferative disorder following transplantation (disorder)
722956007,Early post-transplant lymphoproliferative disorder (disorder)
722958008, Infectious mononucleosis-like post-transplant lymphoproliferative disorder (disorder)
122491000119108,Lymphoproliferative disorder after transplantation of bone marrow (disorder)
445964006,Monomorphic posttransplant lymphoproliferative disorder (disorder)
762316003,Polymorphic lymphoproliferative disorder following transplant (disorder)
421283008, Primary lymphoma of brain with acquired immunodeficiency syndrome (disorder)
450909005,Plasmablastic lymphoma (morphologic abnormality)
724648008,Plasmablastic lymphoma (disorder)
