CTV3Codes,Description
XE1MP,Epidermolysis bullosa
X78CT,Epidermolysis bullosa simplex
Xa0Wq,Koebner epidermolysis bullosa
X78CY,Epidermolysis bullosa simplex herpetiformis
X78CZ,Epidermolysis bullosa simplex with mottled pigmentation
X78Ca,Epidermolysis bullosa simplex of Ogna
X78Cb,Epidermolysis simplex superficialis
X78Cc,Epidermolysis bullosa simplex with neuromuscular disease
X78Cd,Lethal autosomal recessive epidermolysis bullosa simplex
X78CU,Epidermolysis bullosa simplex with hypodontia
X78CW,Generalised epidermolysis bullosa simplex
X78Co,Junctional epidermolysis bullosa
X78Cp,Localised junctional epidermolysis bullosa
X78Cq,Inverse junctional epidermolysis bullosa
X78Cr,Progressive junctional epidermolysis bullosa (neurotrophic)
X78Ct,Generalised junctional epidermolysis bullosa
X78Cu,Junctional epidermolysis bullosa gravis of Herlitz
X78Cv,Junctional epidermolysis bullosa mitis
X78Cw,Cicatricial junctional epidermolysis bullosa
X78Cf,Dystrophic epidermolysis bullosa
X78Cg,Localised dystrophic epidermolysis bullosa
X78Ch,Dominant dystrophic epidermolysis bullosa
X78Ci,Pretibial dystrophic epidermolysis bullosa
X78Cj,Localised recessive dystrophic epidermolysis bullosa
X78Ck,Generalised dystrophic epidermolysis bullosa
X78Cl,Dominant dystrophic epidermolysis bullosa of Pasini
X78Cm,Generalised recessive dystrophic epidermolysis bullosa mitis
X78Cn,Transient neonatal bullous dermatosis
Pyu91,[X]Other epidermolysis bullosa
X78CR,Bullous eruption of hand
X78CS,Goldscheider's disease
X50FW,Acquired epidermolysis bullosa
