SNOMEDCTCodes,Description
61003004,Epidermolysis bullosa (disorder)
254185007,Dystrophic epidermolysis bullosa (disorder)
254188009,Generalized dystrophic epidermolysis bullosa (disorder)
1231284001,Autosomal dominant generalized dystrophic epidermolysis bullosa (disorder)
75875004,"Dominant dystrophic epidermolysis bullosa, albopapular type (disorder)"
403809003,Dystrophic epidermolysis bullosa inverse type (disorder)
403810008,Epidermolysis bullosa pruriginosa (disorder)
254189001,Generalized recessive dystrophic epidermolysis bullosa mitis (disorder)
403808006,Generalized recessive non-mutilating dystrophic epidermolysis bullosa (disorder)
725407006,Recessive dystrophic epidermolysis bullosa non-Hallopeau Siemens type (disorder)
723716009,Severe generalized recessive dystrophic epidermolysis bullosa (disorder)
723553000,Transient bullous dermolysis of newborn (disorder)
254186008,Localized dystrophic epidermolysis bullosa (disorder)
733638006,Acral dystrophic epidermolysis bullosa (disorder)
111389006,Dominant dystrophic epidermolysis bullosa (disorder)
2689001,Dominant dystrophic epidermolysis bullosa with absence of skin (disorder)
722436002,Dystrophic epidermolysis bullosa nails only (disorder)
254187004,Localized recessive dystrophic epidermolysis bullosa (disorder)
67653003,Pretibial epidermolysis bullosa (disorder)
48528004,Recessive dystrophic epidermolysis bullosa (disorder)
725419003,Centripetalis recessive dystrophic epidermolysis bullosa (disorder)
254176007,Progressive recessive dystrophic epidermolysis bullosa (disorder)
399971009,Junctional epidermolysis bullosa (disorder)
79855003,Congenital junctional epidermolysis bullosa (disorder)
53748002,Congenital junctional epidermolysis bullosa-pyloric atresia syndrome (disorder)
722675000,Laryngo-onycho-cutaneous syndrome (disorder)
254194001,Generalized junctional epidermolysis bullosa (disorder)
254197008,Cicatricial junctional epidermolysis bullosa (disorder)
400140006,Junctional epidermolysis bullosa gravis of Herlitz (disorder)
254196004,Junctional epidermolysis bullosa mitis (disorder)
719432000,Late-onset junctional epidermolysis bullosa (disorder)
254191009,Localized junctional epidermolysis bullosa (disorder)
254192002,Inverse junctional epidermolysis bullosa (disorder)
773692000,"Late-onset localized junctional epidermolysis bullosa, intellectual disability syndrome (disorder)"
254193007,Progressive junctional epidermolysis bullosa (neurotrophic) (disorder)
90496008,Generalized epidermolysis bullosa simplex (disorder)
2772003,Acquired epidermolysis bullosa (disorder)
403632002,Drug-induced epidermolysis bullosa acquisita (disorder)
402450009,"Epidermolysis bullosa acquisita, Brunsting-Perry type (disorder)"
402448001,"Epidermolysis bullosa acquisita, bullous pemphigoid-like (disorder)"
402449009,"Epidermolysis bullosa acquisita, cicatricial pemphigoid-like (disorder)"
402447006,"Epidermolysis bullosa acquisita, classical acral type (disorder)"
402451008,"Epidermolysis bullosa acquisita, oral mucosal involvement (disorder)"
254179000,Epidermolysis bullosa simplex herpetiformis (disorder)
723163000,Basal epidermolysis bullosa simplex (disorder)
723308003,Epidermolysis bullosa simplex with muscular dystrophy (disorder)
724206005,Keratin 14 related epidermolysis bullosa simplex (disorder)
398071000,"Epidermolysis bullosa simplex, Ogna type (disorder)"
398170002,Autosomal dominant epidermolysis bullosa simplex (disorder)
294705005,"Dominant epidermolysis bullosa simplex, Weber-Cockayne type (disorder)"
716700003,Epidermolysis bullosa simplex with circinate migratory erythema (disorder)
1177176009,Intermediate epidermolysis bullosa simplex with cardiomyopathy (disorder)
1156849001,Autosomal recessive epidermolysis bullosa simplex (disorder)
716701004,Epidermolysis bullosa simplex co-occurrent with pyloric atresia (disorder)
773501006,Epidermolysis bullosa simplex due to BP230 deficiency (disorder)
773503009,Epidermolysis bullosa simplex due to exophilin 5 deficiency (disorder)
716699004,Epidermolysis bullosa simplex due to plakophilin deficiency (disorder)
1230026002,Lethal acantholytic erosive disorder (disorder)
254183000,Lethal autosomal recessive epidermolysis bullosa simplex (disorder)
254177003,Epidermolysis bullosa simplex with hypodontia (disorder)
254180002,Epidermolysis bullosa simplex with mottled pigmentation (disorder)
254181003,Epidermolysis simplex superficialis (disorder)
724840004,Suprabasal epidermolysis bullosa simplex (disorder)
724225008,Junctional epidermolysis bullosa non-Herlitz type (disorder)
1254890002,Localized junctional epidermolysis bullosa non-Herlitz type (disorder)
1142207008,Transient neonatal epidermolysis bullosa acquisita (disorder)
417078002,Conjunctivitis associated with epidermolysis bullosa (disorder)
1254877009,Nail dystrophy due to epidermolysis bullosa (disorder)
773647007,"Nephrotic syndrome, deafness, pretibial epidermolysis bullosa syndrome (disorder)"
403550004,Aplasia cutis congenita in association with epidermolysis bullosa (Type 6) (disorder)
403792007,Keratoderma due to Dowling-Meara type epidermolysis bullosa simplex (disorder)
733453005,"Congenital nephrotic syndrome, interstitial lung disease, epidermolysis bullosa syndrome (disorder)"
