CTV3Codes,Description
E2273,Erectile dysfunction
Xaa8r,Erectile dysfunction due to diabetes mellitus
X400F,Drug-induced impotence
X400G,Endocrine impotence
X400H,Neuropathic impotence
Xa24H,Arteriopathic impotence
X400I,Psychogenic impotence
K27y1,Impotence of organic origin
XaXgw,C/O erectile dysfunction
pG...,Erectile dysfunction appliance
pG1..,Erectile dysfunction vacuum therapy system
pG1f.,Active II 0100 battery operated vacuum therapy system with limiter
pG1n.,ErectEase S0001 vacuum therapy system
pG1c.,Farnhurst Elite Standard ES101 vacuum therapy system
pG1b.,Farnhurst Elite Plus EG105 vacuum therapy system with gauge
pG1a.,Farnhurst Elite Plus EL108 vacuum therapy system with limiter
pG1g.,Impulse 0102 vacuum therapy system with limiter
pG1k.,Osbon ErecAid Classic XX02 vacuum therapy system
pG1j.,Osbon ErecAid Esteem XX50 vacuum therapy system
pG1l.,Performance Plus Erection Inducer Device vacuum therapy system
pG1h.,Pos-T-Vac AVP1000 battery operated vacuum therapy system with limiter
pG1i.,Pos-T-Vac MVP700 vacuum therapy system with limiter
pG1d.,Rapport SM2000 Classic vacuum therapy system
pG1e.,Rapport SM2200 Premier vacuum therapy system
pG1q.,SomaCorrect 15080 vacuum therapy system
pG1r.,SOMACorrect Xtra 15111 vacuum therapy system
pG1o.,SomaErect Response II 15019 vacuum therapy system
pG1s.,SOMAErect Response II XL 15888 vacuum therapy system
pG1p.,SomaErect Touch II 15013 battery operated vacuum system
pG1m.,Vet Ex 001 vacuum therapy system
pG1t.,ACCORD 0103 vacuum therapy system
pG1u.,REVIVE 0101 battery operated vacuum therapy system+limiter
pG1v.,VAXAID V30 HYDROPUMP VX30PR vacuum therapy system
pG1w.,VED AXIS FTP-VED-AXIS vacuum therapy system
pG2..,Erectile dysfunction constrictor ring
x05hI,Confidence Rings erectile dysfunction constrictor ring
pG22.,Confidence Rings starter pack erectile dysfunction constrictor ring
pG23.,Confidence Rings firm erectile dysfunction constrictor ring
pG24.,Confidence Rings regular erectile dysfunction constrictor ring
x05ts,Elite erectile dysfunction constrictor rings
pG2I.,Elite ECR01 size 1-5 erectile dysfunction constrictor rings
pG2J.,Elite ECR01/1 size1 erectile dysfunction constrictor ring
pG2K.,Elite ECR01/2 size2 erectile dysfunction constrictor ring
pG2L.,Elite ECR01/3 size3 erectile dysfunction constrictor ring
pG2M.,Elite ECR01/4 size4 erectile dysfunction constrictor ring
pG2N.,Elite ECR01/5 size5 erectile dysfunction constrictor ring
x05uR,ErectAssist erectile dysfunction constrictor ring
pG2S.,ErectAssist S0101 set of erectile dysfunction constrictor rings
