MedCodeID,Description
9985731000006113,Osbon ErecAid MaxElasticity tension ring 1676 Grey (Mediplus Ltd)
9985741000006115,Osbon ErecAid Standard tension ring 1672 Beige (Mediplus Ltd)
9985751000006118,Osbon ErecAid High tension ring 1674 Pink (Mediplus Ltd)
4668871000006114,Revascularization for impotence
272294012,Revascularisation for impotence
272299019,Ligation of penile veins for impotence
10075931000006111,Genesis 3H constrictor ring size 3 013H-3 (Genesis Medical Ltd)
10075951000006116,Genesis 3H constrictor ring size 4 013H-4 (Genesis Medical Ltd)
10075971000006114,Genesis 3H constrictor ring size 5 013H-5 (Genesis Medical Ltd)
10075991000006110,Genesis 3H constrictor ring size 6 013H-6 (Genesis Medical Ltd)
10076011000006114,Genesis 3H constrictor ring size 7 013H-7 (Genesis Medical Ltd)
10076031000006115,Genesis 3H constrictor ring size 8 013H-8 (Genesis Medical Ltd)
10076051000006110,Genesis 3H constrictor ring size 9 013H-9 (Genesis Medical Ltd)
10395291000006114,VaxAid erection ring VSER20 20mm (VaxAid Ltd)
10395341000006112,VaxAid erection ring VSER24 24mm (VaxAid Ltd)
10395371000006116,VaxAid erection ring VSER28 28mm (VaxAid Ltd)
10395391000006115,VaxAid erection ring VSER32 32mm (VaxAid Ltd)
10395411000006115,VaxAid erection ring VSER36 36mm (VaxAid Ltd)
10395431000006114,VaxAid erection ring VSER40 40mm (VaxAid Ltd)
10395461000006117,VaxAid erection ring VPER1 (VaxAid Ltd)
10395481000006110,VaxAid erection ring VPER2 (VaxAid Ltd)
10395501000006117,VaxAid erection ring VPER3 (VaxAid Ltd)
5191041000006114,Provision of device for impotence
1838911000006118,Provision of penile vacuum constriction device
364564016,Provision of penile vacuum constriction device
5191061000006113,Provision of penile tension band device
5323211000006116,Investigations for impotence
5323221000006112,Physiological tests for impotence
5323241000006117,NPT - Nocturnal penile tumescence
5323231000006110,Nocturnal penile tumescence
5323251000006115,Corporeal veno-occlusive function
5323261000006118,Intracavernous injection test using vaso-active agent
5323281000006111,Visual evoked erection test
10783061000006110,VED Axis constrictor ring size 4 FTP-44003-4-001 (FTP Medical)
10783101000006113,VED Axis constrictor ring size 6 FTP-44003-6-001 (FTP Medical)
10783121000006115,VED Axis Firma Band FTP-001-0-FB (FTP Medical)
