SNOMEDCTCodes,Description
860914002,Erectile dysfunction (disorder)
860917009,Absolute erectile dysfunction (disorder)
860915001,Erectile dysfunction caused by drug (disorder)
16715411000119108,Erectile dysfunction due to and following radiation therapy (disorder)
860918004,Erectile dysfunction due to psychophysiologic disorder (disorder)
369051000119101,Erectile dysfunction following prostate brachytherapy (disorder)
367441000119103,Erectile dysfunction following radical cystectomy (disorder)
367451000119101,Erectile dysfunction following radical prostatectomy (disorder)
473020005,Primary erectile dysfunction (disorder)
860916000,Relative erectile dysfunction (disorder)
473021009,Secondary erectile dysfunction (disorder)
860921002,Erectile dysfunction due to endocrine disease (disorder)
770096002,Erectile dysfunction due to diabetes mellitus (disorder)
691000119103,Erectile dysfunction due to type 1 diabetes mellitus (disorder)
428007007,Erectile dysfunction due to type 2 diabetes mellitus (disorder)
1144954002,Erectile dysfunction due to fibrosis of corpus cavernosum (disorder)
1144952003,Erectile dysfunction due to injury (disorder)
860922009,Erectile dysfunction due to neuropathy (disorder)
8061000119107,Vasculopathic erectile dysfunction (disorder)
860920001,Erectile dysfunction due to arterial disease (disorder)
367431000119107,Erectile dysfunction co-occurrent and due to arterial insufficiency (disorder)
1144949006,Erectile dysfunction due to disorder of vein (disorder)
429031006,History of male erectile disorder (situation)
851081000000105,Management of erectile dysfunction (procedure)
473327001,Complaining of erectile dysfunction (finding)
473209001,Diabetic erectile dysfunction review (regime/therapy)
367141000119107,Male erectile disorder due to corporovenous occlusion (disorder)
395325002,Erectile dysfunction appliance (physical object)
401662004,Constrictor rings for erectile dysfunction (physical object)
7493311000001101,Applicator and cone set ECA02 (Farnhurst Medical Ltd) (physical object)
5972511000001107,Asset constrictor ring 0105 (Genesis Medical Ltd) (physical object)
9010311000001107,Assist erection maintenance system 15109 (iMedicare Ltd) (physical object)
5975211000001104,Comfort constrictor ring VA007 (Vetco UK) (physical object)
5973111000001109,Confidence ring firm Pink (Healthcare 2000 Ltd) (physical object)
5972811000001105,Confidence ring regular Natural (Healthcare 2000 Ltd) (physical object)
5973611000001101,Confidence ring starter pack (Healthcare 2000 Ltd) (physical object)
5965411000001107,Constrictor ring (Euro Surgical Ltd) (physical object)
7358211000001101,Constrictor ring size 1 ECR01/1 (Farnhurst Medical Ltd) (physical object)
7358411000001102,Constrictor ring size 2 ECR01/2 (Farnhurst Medical Ltd) (physical object)
7358611000001104,Constrictor ring size 3 ECR01/3 (Farnhurst Medical Ltd) (physical object)
7358811000001100,Constrictor ring size 4 ECR01/4 (Farnhurst Medical Ltd) (physical object)
7359011000001101,Constrictor ring size 5 ECR01/5 (Farnhurst Medical Ltd) (physical object)
7351811000001106,Constrictor ring sizes 1-5 ECR01 (Farnhurst Medical Ltd) (physical object)
7833611000001107,ErectAssist set S0007 (Mediwatch UK Ltd) (physical object)
18105211000001102,Genesis 3H constrictor ring size 3 013H-3 (Genesis Medical Ltd) (physical object)
18105411000001103,Genesis 3H constrictor ring size 4 013H-4 (Genesis Medical Ltd) (physical object)
18105611000001100,Genesis 3H constrictor ring size 5 013H-5 (Genesis Medical Ltd) (physical object)
18105811000001101,Genesis 3H constrictor ring size 6 013H-6 (Genesis Medical Ltd) (physical object)
18106011000001103,Genesis 3H constrictor ring size 7 013H-7 (Genesis Medical Ltd) (physical object)
18106211000001108,Genesis 3H constrictor ring size 8 013H-8 (Genesis Medical Ltd) (physical object)
18106411000001107,Genesis 3H constrictor ring size 9 013H-9 (Genesis Medical Ltd) (physical object)
5966211000001102,Genesis constrictor ring 0110B (Genesis Medical Ltd) (physical object)
5983411000001105,Genesis constrictor ring 0110C (Genesis Medical Ltd) (physical object)
5983611000001108,Genesis constrictor ring 0110D (Genesis Medical Ltd) (physical object)
5983811000001107,Genesis constrictor ring 0110E (Genesis Medical Ltd) (physical object)
5984011000001104,Genesis constrictor ring 0110F (Genesis Medical Ltd) (physical object)
5980011000001106,Mentor constrictor ring large VA006 (Vetco UK) (physical object)
5979211000001101,Mentor constrictor ring medium VA006 (Vetco UK) (physical object)
17132911000001103,Osbon ErecAid High tension ring 1674 Pink (Mediplus Ltd) (physical object)
17132511000001105,Osbon ErecAid MaxElasticity tension ring 1676 Grey (Mediplus Ltd) (physical object)
17132711000001100,Osbon ErecAid Standard tension ring 1672 Beige (Mediplus Ltd) (physical object)
5974311000001108,Rapport ring loading system SM2220 (Owen Mumford Ltd Medical Division) (physical object)
7835711000001102,Retention ring S0101 (Mediwatch UK Ltd) (physical object)
7834511000001106,Retention ring S0101A 25mm (Mediwatch UK Ltd) (physical object)
7835011000001104,Retention ring S0101B 32mm (Mediwatch UK Ltd) (physical object)
7835411000001108,Retention ring S0101C 40mm (Mediwatch UK Ltd) (physical object)
9074011000001106,Select erection maintenance ring set 15230 (iMedicare Ltd) (physical object)
9010911000001108,SureEase erection maintenance ring set 15085 (iMedicare Ltd) (physical object)
9501311000001102,Ultimate erection maintenance ring set 15222 (iMedicare Ltd) (physical object)
9501511000001108,Ultra erection maintenance ring set 15444 (iMedicare Ltd) (physical object)
21570011000001109,VaxAid erection ring VPER1 (VaxAid Ltd) (physical object)
21570211000001104,VaxAid erection ring VPER2 (VaxAid Ltd) (physical object)
21570411000001100,VaxAid erection ring VPER3 (VaxAid Ltd) (physical object)
21568311000001103,VaxAid erection ring VSER20 20mm (VaxAid Ltd) (physical object)
21568811000001107,VaxAid erection ring VSER24 24mm (VaxAid Ltd) (physical object)
21569111000001107,VaxAid erection ring VSER28 28mm (VaxAid Ltd) (physical object)
21569311000001109,VaxAid erection ring VSER32 32mm (VaxAid Ltd) (physical object)
21569511000001103,VaxAid erection ring VSER36 36mm (VaxAid Ltd) (physical object)
21569711000001108,VaxAid erection ring VSER40 40mm (VaxAid Ltd) (physical object)
