CTV3Codes,Description
Xa1aX,Food allergy
Xad15,Allergy to tomato
XabWn,Allergy to banana
Xaa0d,Allergy to soya
XaXYk,Mushroom allergy
XaOYT,Wheat allergy
Xa1nm,Egg allergy
SN581,Egg protein allergy
Xa1nn,Cow's milk allergy
Xa1np,Seafood allergy
XaQaY,Fish allergy
Xa7lO,Shellfish allergy
Xa7lI,Allergy to strawberries
Xa7lJ,Nut allergy
Xa1no,Peanut allergy
Xa7lN,Chocolate allergy
Xa7lP,Cheese allergy
X70vm,Food induced anaphylaxis
X70vn,Peanut infuced anaphylaxis
X70vo,Seafood induced anaphylaxis
X70vp,Egg white induced anaphylaxis
X70vq,Cows milk protein induced anaphylaxis
x70w1,Food induced anaphylactoid reaction
