SNOMEDCTCodes,Description
294316000,Allergy to olive oil (finding)
712839001,Allergy to almond (finding)
418606003,Allergy to almond oil (finding)
860604008,Allergy to apple (finding)
294317009,Allergy to Arachis oil (finding)
714332003,Allergy to banana (finding)
712841000,Allergy to barley (finding)
703925004,Allergy to bean (finding)
703930000,Allergy to beef (finding)
420080006,Allergy to carrot (finding)
5611000122107,Allergy to casein (finding)
712838009,Allergy to cashew nut (finding)
712843002,Allergy to celery (finding)
300914000,Allergy to cheese (finding)
418051002,Allergy to cherry (finding)
703932008,Allergy to chicken meat (finding)
300912001,Allergy to chocolate (finding)
418397007,Allergy to cinnamon (finding)
418085001,Allergy to citrus fruit (finding)
703911000,Allergy to clam (finding)
419814004,Allergy to coconut oil (finding)
419573007,Allergy to corn (finding)
782555009,Allergy to cow's milk protein (finding)
447961002,Allergy to dietary mushroom (finding)
213020009,Allergy to egg protein (finding)
767470005,Allergy to fenugreek (finding)
417532002,Allergy to fish (finding)
294969007,Allergy to fish derived omega 3 fatty acid (finding)
294968004,Allergy to fish oil (finding)
414285001,Allergy to food (finding)
16067171000119102,Allergy to food additive (finding)
91932007,Allergy to fruit (finding)
294847001,Allergy to gelatin (finding)
294741005,Allergy to guar gum (finding)
712840004,Allergy to hazelnut (finding)
23171000122102,Allergy to kiwi fruit (finding)
418626004,Allergy to lobster (finding)
782575000,Allergy to lupine seed (finding)
712844008,Allergy to macadamia nut (finding)
23181000122104,Allergy to mango fruit (finding)
703931001,Allergy to meat (finding)
712842007,Allergy to mollusk (finding)
12921000122102,Allergy to mussel (finding)
21191000122102,Allergy to mustard seasoning (finding)
91934008,Allergy to nut (finding)
419342009,Allergy to oat (finding)
419967000,Allergy to oyster (finding)
767468001,Allergy to pea (finding)
91935009,Allergy to peanut (finding)
13511000122108,Allergy to pineapple (finding)
767469009,Allergy to poppy seed (finding)
417918006,Allergy to pork (finding)
419619007,Allergy to potato (finding)
409136006,Allergy to pulse vegetable (finding)
418815008,Allergy to red meat (finding)
418184004,Allergy to rye (finding)
294840004,Allergy to salmon calcitonin (finding)
91937001,Allergy to seafood (finding)
419101002,Allergy to seed (finding)
1326401000000102,Allergy to sesame seed (finding)
300913006,Allergy to shellfish (finding)
419972009,Allergy to shrimp (finding)
782594005,Allergy to soy protein (finding)
91938006,Allergy to strawberry (finding)
418779002,Allergy to tomato (finding)
48821000119104,Allergy to tree nut (finding)
91940001,Allergy to walnut (finding)
419298007,Allergy to watermelon (finding)
420174000,Allergy to wheat (finding)
226202001,Brazil nut-free diet (finding)
226191009,Chocolate-free diet (finding)
226192002,Cocoa-free diet (finding)
226198003,Cow's milk-free diet (finding)
788801007,Delayed allergy to beef (finding)
788781001,Delayed allergy to red meat (finding)
325201000000105,Dietary education for food allergy (procedure)
302322006,Egg-free diet (finding)
409002,Food allergy diet (finding)
294890000,"Foods, vitamins, electrolytes and inorganic salts allergy (navigational concept)"
416389007,Gastrointestinal disorder due to food allergy (disorder)
226195000,Low allergen diet (finding)
302320003,Milk-free diet (finding)
226200009,Nut-free diet (finding)
226201008,Peanut-free diet (finding)
432807008,Pollen-food allergy (finding)
226205004,Wheat-free diet (finding)
441492003,Anaphylaxis caused by seed (disorder)
429751004,Anaphylaxis caused by fruit (disorder)
402390008,Anaphylaxis caused by ingested food (disorder)
441495001,Anaphylaxis caused by tree nut (disorder)
428795003,Anaphylaxis caused by vegetable (disorder)
719040004,Anaphylaxis caused by lupin flour (disorder)
241933001,Peanut-induced anaphylaxis (disorder)
241936009,Cow's milk protein-induced anaphylaxis (disorder)
241935008,Egg white-induced anaphylaxis (disorder)
241934007,Seafood-induced anaphylaxis (disorder)
442052005,Anaphylaxis caused by shellfish (disorder)
427833000,Anaphylaxis caused by mollusk (disorder)
