MedCodeID,Description
7997311000006115,Allergy to mussel
14232491000006119,Allergy to sesame seed
3306233018,Allergy to pineapple
3514136017,Allergy to food additive
8008711000006117,Allergy to mustard
324777010,Egg protein allergy
13790861000006114,Allergy to egg protein
4952241000006111,Chocolate-free diet
4952251000006113,Cocoa-free diet
4952371000006112,Cow's milk-free diet
4952381000006110,Cow's milk free diet
4952401000006110,Nut-free diet
4952411000006113,Peanut-free diet
4952421000006117,Brazil nut-free diet
4952471000006116,Wheat-free diet
2005951000006117,Allergy to kiwi fruit
8010951000006119,Allergy to mango fruit
5169271000006110,Peanut-induced anaphylaxis
5169281000006113,Seafood-induced anaphylaxis
5169291000006111,Egg white-induced anaphylaxis
5169301000006112,Cow's milk protein-induced anaphylaxis
5805611000006111,Arachis oil allergy
13803391000006116,Allergy to Arachis oil
13807631000006117,Allergy to salmon calcitonin
5811321000006112,Salmon calcitonin allergy
5811341000006117,Calcitonin (salmon) allergy
5811421000006118,Gelatin allergy
5811851000006113,"Foods, vitamins, electrolytes and inorganic salts allergy"
5812681000006112,Fish oils allergy
13809521000006113,Allergy to chocolate
5886661000006117,Chocolate allergy
13809531000006111,Allergy to shellfish
442109011,Shellfish allergy
5886681000006110,Cheese allergy
13809541000006118,Allergy to cheese
443926011,Milk free diet
217491000000112,Milk-free diet
5905501000006115,Milk free diet
217511000000116,Egg free diet
217501000000118,Egg-free diet
598341000000116,Dietary advice for food allergy
636121000000113,Dietary education for food allergy
459842017,Anaphylaxis due to ingested food
2505211000006111,Food allergy diet
6773681000006111,Allergy to legumes
14081711000006111,Allergy to pulse vegetable
14081731000006117,Allergy to legume
2534292019,Food allergy
251847010,H/O: food allergy
13831021000006113,Allergy to food
6891521000006118,Gastrointestinal disorder due to food allergy
1130991000000112,Fish allergy
6908271000006118,Allergy to fish
2578548019,Allergy to pork
6915061000006113,Allergy to cherry
6915591000006111,Allergy to citrus fruit
6917281000006117,Allergy to rye
6924271000006117,Allergy to lobster
1968751000006118,Allergy to tomato
2578554018,Allergy to tomato
6927351000006114,Allergy to red meat
6931871000006115,Allergy to seed
6935131000006110,Allergy to watermelon
14083651000006118,Allergy to oat
6939451000006114,Allergy to corn
6940201000006118,Allergy to potato
6943511000006112,Allergy to coconut oil
6946031000006118,Allergy to shrimp
6947941000006114,Allergy to carrot
632511000000112,Wheat allergy
6949461000006112,Allergy to wheat
7108121000006110,Anaphylaxis due to fruit
7108131000006113,Anaphylaxis caused by fruit
561371000000119,Oral allergy syndrome
7167791000006111,Pollen-food allergy
7250761000006114,Anaphylaxis due to seed
7258961000006110,Anaphylaxis due to shellfish
1739911000000117,Allergy to dietary mushroom
8017681000006115,Allergy to tree nut
7584001000006116,Allergy to bean
7584011000006118,Bean allergy
7584101000006117,Allergy to beef
7584131000006113,Meat allergy
7584141000006115,Allergy to chicken meat
7584151000006118,Chicken meat allergy
7696091000006113,Allergy to cashew nut
7696101000006119,Allergy to almond
7696111000006116,Allergy to hazelnut
7696121000006112,Allergy to barley
7696141000006117,Allergy to celery
7696151000006115,Allergy to macadamia nut
2366441000000110,Allergy to banana
12056471000006119,Allergy to pea
12056481000006116,Allergy to poppy seed
13620271000006117,Allergy to cow's milk protein
13620631000006118,Allergy to soy protein
13948841000006112,Allergy to apple
3994221000006119,Allergy to fruit
3994251000006111,Allergy to nut
1235714019,Nut allergy
236761000006114,Allergy to peanuts
13781801000006116,Allergy to peanut
1235716017,Seafood allergy
3994301000006116,Allergy to seafood
13781811000006118,Allergy to strawberry
2168381000000118,Strawberry allergy
152309013,Allergy to strawberries
3994401000006113,Allergy to walnut
509777012,Anaphylactic shock due to adverse food reaction
637141000006110,Allergy to eggs
2232581000000116,Allergy to soya
