MedCodeID,Description
2789221000006117,Pituitary dwarfism type I
2789201000006110,Autosomal recessive isolated somatotropin deficiency
2789211000006113,Isolated growth hormone deficiency type I
881571000006116,Growth hormone deficiency
2532541000006114,Isolated somatotropin deficiency
2532571000006118,IGHD - Isolated growth hormone deficiency
2532561000006113,Isolated growth hormone insufficiency
721901000006110,Isolated growth hormone deficiency
2855451000006116,Transient somatotropin deficiency
5065951000006116,Fleisher syndrome
5065941000006118,X-linked agammaglobulinemia with growth hormone deficiency
5065931000006111,X-linked agammaglobulinaemia with growth hormone deficiency
5111071000006119,Autosomal dominant isolated somatotropin deficiency
5111081000006116,Isolated growth hormone deficiency - autosomal dominant
5111091000006118,Idiopathic growth hormone deficiency
5111101000006112,Idiopathic growth hormone insufficiency
5111111000006110,IGHD - Idiopathic growth hormone deficiency
5111121000006119,Growth hormone neurosecretory dysfunction
5111141000006114,Psychosocial growth hormone deficiency
5111151000006111,Psychosocial growth hormone insufficiency
2936891000006114,Familial enlargement of the sella turcica
2936881000006111,Pituitary dwarfism with large sella turcica
6297851000006110,Prepuberal dwarfism
6297801000006111,Hypopituitary dwarfism
492180012,Pituitary dwarfism
1785234012,Lorain - Levi dwarfism
6297841000006113,Isolated deficiency of growth hormone in children
398800015,Other specified pituitary dwarfism
292723017,Pituitary dwarfism NOS
6297811000006114,Pituitary nanism
6297821000006118,Hyposomatotropic dwarfism
6297831000006115,Prepubertal dwarfism
3115011000006116,Laron-type pituitary dwarfism
3115001000006119,Laron dwarfism
3114981000006111,Laron-type isolated somatotropin defect
3114991000006114,Laron-type dwarfism
3121031000006116,Nonfamilial hyperinsulinemic isolated somatotropin deficiency
3121051000006111,Ateliotic dwarfism with hyperinsulinaemia
3121041000006114,Ateliotic dwarfism with hyperinsulinemia
3121021000006119,Nonfamilial hyperinsulinaemic isolated somatotropin deficiency
6593451000006111,Growth hormone insufficiency
6593431000006116,Growth hormone deficiency
6593441000006114,GHD - Growth hormone deficiency
788361000006112,Hypophyseal dwarfism
6952541000006118,Adult-onset growth hormone deficiency
6976191000006119,Adult growth hormone deficiency
6980561000006114,Adult growth hormone deficiency with onset in childhood
7104551000006116,Growth hormone deficiency after bone marrow transplant
3332391000006116,Pituitary dwarfism with normal somatotropin level AND low somatomedin
3654751000006111,Sexual ateleiotic dwarfism
356230019,Ateliotic dwarf
3654791000006117,Hypopituitary dwarfism with normal sexual characteristics
3654781000006115,Idiopathic pituitary dwarfism
3654761000006113,Sexual ateliotic dwarfism
3654741000006114,Ateliotic dwarfism
3654731000006116,Ateleiotic dwarfism
3654771000006118,Sexual dwarfism
7855081000006115,IGF-1 (insulin-like growth factor 1) deficiency
7855061000006113,Growth delay due to insulin-like growth factor type 1 deficiency
7855071000006118,"Growth delay, deafness, intellectual disability syndrome"
7855091000006117,Primary insulin-like growth factor deficiency
12048511000006114,Short stature due to GHSR (growth hormone secretagogue receptor) deficiency
12048531000006115,Ghrelin receptor deficiency
12048521000006118,Short stature due to GHSR deficiency
12048501000006111,Short stature due to growth hormone secretagogue receptor deficiency
2627411000006115,Growth hormone deficiency with hypogammaglobulinemia
2627391000006115,Immunoglobulinemia with isolated somatotropin deficiency
2627401000006118,Fleischer syndrome
2627381000006118,Immunoglobulinaemia with isolated somatotropin deficiency
2627421000006111,Growth hormone deficiency with hypogammaglobulinaemia
3981841000006111,Familial panhypopituitarism with abnormal sella turcica
3981851000006113,Familial absence of sella turcica
3981831000006118,Abnormal sella turcica syndrome
3981821000006116,Ferrier-Stone syndrome
3981801000006114,Pituitary dwarfism with small sella turcica
