SNOMEDCTCodes,Description
397827003,Growth hormone deficiency (disorder)
421684006,Adult growth hormone deficiency (disorder)
421931005,Adult growth hormone deficiency with onset in childhood (disorder)
420351005,Adult-onset growth hormone deficiency (disorder)
724385009,Growth delay due to insulin-like growth factor type 1 deficiency (disorder)
237689000,Growth hormone neurosecretory dysfunction (disorder)
237688008,Idiopathic growth hormone deficiency (disorder)
2109003,Isolated somatotropin deficiency (disorder)
18200000,Autosomal recessive isolated somatotropin deficiency (disorder)
7990002,Immunoglobulinemia with isolated somatotropin deficiency (disorder)
237687003,Isolated growth hormone deficiency - autosomal dominant (disorder)
38576000,Nonfamilial hyperinsulinemic isolated somatotropin deficiency (disorder)
237691008,Psychosocial growth hormone deficiency (disorder)
22306000,Transient somatotropin deficiency (disorder)
234533006,X-linked agammaglobulinemia with growth hormone deficiency (disorder)
429514007,Growth hormone deficiency after bone marrow transplant (disorder)
71003000,Ateleiotic dwarfism (disorder)
27270004,Pituitary dwarfism with large sella turcica (disorder)
91187007,Pituitary dwarfism with small sella turcica (disorder)
51371005,Pituitary dwarfism with normal somatotropin level AND low somatomedin (disorder)
1186807002,Hereditary growth hormone deficiency (disorder)
783098009,Short stature due to partial growth hormone receptor deficiency (disorder)
766817004,Short stature due to growth hormone secretagogue receptor deficiency (disorder)
367460001,Pituitary dwarfism (disorder)
38196001,Laron-type isolated somatotropin defect (disorder)
