SNOMEDCTCodes,Description
235595009,Gastroesophageal reflux disease (disorder)
717847008,Erosive gastro-esophageal reflux disease (disorder)
371101003,Gastroesophageal reflux disease with apnea (disorder)
15643101000119103,Gastroesophageal reflux disease in pregnancy (disorder)
245754007,Gastroesophageal reflux disease with ulceration (disorder)
266435005,Gastroesophageal reflux disease without esophagitis (disorder)
10999201000119106,Gastroesophageal reflux in child (disorder)
371132002,Hiatal hernia with gastroesophageal reflux (disorder)
15926411000119101,Paraesophageal hernia with gastroesophageal reflux (disorder)
15749591000119107,Neonatal gastroesophageal reflux (disorder)
717846004,Non-erosive gastro-esophageal reflux disease (disorder)
230314007,Sandifer syndrome (disorder)
1187041000,"Stromal antigen 1-related intellectual disability, facial dysmorphism, gastroesophageal reflux syndrome (disorder)"
16331000,Heartburn (finding)
162030005,Waterbrash (finding)
698065002,Acid reflux (finding)
225587003,Gastric reflux (finding)
300290000,Excessive gastric reflux (finding)
300292008,Minimal gastric reflux (finding)
300291001,Moderate gastric reflux (finding)
249496004,Esophageal reflux finding (finding)
265357009,Antireflux operation (procedure)
265360002,Antireflux gastropexy (procedure)
7161000179101,Antireflux procedure associated esophagomyotomy (procedure)
265359007,Antireflux fundoplication using abdominal approach (procedure)
265358004,Antireflux fundoplication using thoracic approach (procedure)
1288011001,Endoluminal gastroplication for gastroesophageal reflux disease (procedure)
266433003,Gastroesophageal reflux disease with esophagitis (disorder)
200151000000106,Reflux cough (finding)
235596005,Peptic stricture of esophagus (disorder)
427780002,Laryngitis due to gastroesophageal reflux (disorder)
70861000119106,History of gastroesophageal reflux disease (situation)
1126571000000103,Management of gastroesophageal reflux disease (procedure)
70561000119109,History of heartburn (situation)
