MedCodeID,Description
4085591000006113,HIV p24 antigen
4085611000006119,Human immunodeficiency virus (HIV) p24 antigen
4085601000006117,Human immunodeficiency virus p24 antigen
9323271000006119,Acquired immune deficiency syndrome complicating childbirth
9323281000006116,AIDS (acquired immune deficiency syndrome) during childbirth
365853018,Acute HIV infection
4200801000006118,Acute human immunodeficiency virus seroconversion illness
4200811000006115,Acute human immunodeficiency virus infection
2717731000006116,Human immunodeficiency virus receptor
2717711000006110,HIV receptor
2717721000006119,Human immunodeficiency virus (HIV) receptor
4596341000006119,Human immunodeficiency virus (HIV) positive
317670010,[D]Laboratory evidence of human immunodeficiency virus [HIV]
4596351000006117,Human immunodeficiency virus positive
257854011,HTLV-3 antibody positive
257855012,HIV positive
4742821000006114,Human immunodeficiency virus infection constitutional disease
829181000006115,Human immunodeficiency virus with constitutional disease
4742831000006112,HIV - Human immunodeficiency virus infection constitutional disease
4742841000006119,Human immunodeficiency virus infection with neurological disease
287012016,Human immunodeficiency virus with neurological disease
829221000006112,Human immunodeficiency virus infection with secondary clinical infectious disease
389111000006119,[X]HIV disease resulting/unspcf infectious+parasitic disease
389021000006114,[X]HIV disease resulting in multiple infections
287027016,HIV disease resulting in multiple infections
288177018,[X]HIV disease resulting in other viral infections
389101000006117,[X]HIV disease resulting/other infectious+parasitic diseases
825861000006116,HIV disease resulting/unspcf infectious+parasitic disease
2802031000006116,HIV
2802041000006114,AIDS virus
2802021000006119,Human immunodeficiency virus
2802051000006111,HIV - Human immunodeficiency virus
5004491000006116,HIV - Human immunodeficiency virus leukoencephalopathy
5004481000006119,Human immunodeficiency virus leucoencephalopathy
5004501000006112,Human immunodeficiency virus leukoencephalopathy
5004511000006110,HIV - Human immunodeficiency virus leucoencephalopathy
5009901000006116,Human immunodeficiency virus neuropathy
5009911000006118,HIV - Human immunodeficiency virus neuropathy
5009921000006114,Neuropathy caused by HIV - human immunodeficiency virus
5009881000006118,Neuropathy due to human immunodeficiency virus
5009931000006112,Neuropathy caused by human immunodeficiency virus
5009891000006115,Neuropathy due to HIV - human immunodeficiency virus
5084741000006115,Human immunodeficiency virus diarrhea
5084691000006117,HIV - Human immunodeficiency virus enteropathy
5084681000006115,Human immunodeficiency virus enteropathy
5084731000006113,HIV - Human immunodeficiency virus diarrhea
5084751000006118,Human immunodeficiency virus non-pathogenic diarrhea
5084701000006117,Human immunodeficiency virus non-pathogenic diarrhoea
5084711000006119,HIV - Human immunodeficiency virus diarrhoea
5084721000006110,Human immunodeficiency virus diarrhoea
5093691000006119,Acquired immune deficiency syndrome-related nephropathy
5093701000006119,AIDS - Acquired immune deficiency synd-related nephropathy
5143451000006111,Human immunodeficiency virus myopathy
5143461000006113,HIV - Human immunodeficiency virus myopathy
5588851000006115,Congenital acquired immune deficiency syndrome
5588861000006118,AIDS - Congenital acquired immune deficiency syndrome
5588871000006113,Congenital human immunodeficiency virus positive status syndrome
5588881000006111,HIV - Congenital human immunodeficiency virus positive status syndrome
6052961000006119,AIDS virus with aseptic meningitis
6052981000006112,Human immunodeficiency virus infection with aseptic meningitis
6052971000006114,Human immunodeficiency virus (HIV) infection with aseptic meningitis
