CTV3Codes,Description
XE0s9,Hearing loss
X75qM,Dead ear
1C131,Unilateral deafness
1C132,Partial deafness
1C133,Bilateral deafness
X00kO,Chronic deafness
XM0Cb,Deafness symptom
F592.,Mixed hearing loss
F5920,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
F5921,"Mixed conductive and sensorineural hearing loss, bilateral"
F5912,Neural hearing loss
F5913,Central hearing loss
F5911,Sensory hearing loss
X00kW,Functional hearing loss
E2012,Dissociative deafness
XE17N,Perceptive hearing loss
XaZuF,Mild sensorineural hearing loss
XaZuE,Profound sensorineural hearing loss
XaZuB,Severe sensorineural hearing loss
XaZuA,Moderate sensorineural hearing loss
X00kR,Dominant sensorineural hearing loss
X00kS,X-linked sensorineural hearing loss
X00kT,Recessive sensorineural hearing loss
X00kU,Perinatal sensorineural hearing loss
X00kV,Postnatal acquired sensorineural hearing loss
F5801,Presbyacusis
Xa0PN,Postoperative profound sensorineural hearing loss
F5914,Congenital sensorineural deafness
XaRE1,Congenital prelingual deafness
XaOPs,Maternally inherited deafness
F5910,Unspecified perceptive hearing loss
F5916,"Sensorineural hearing loss, bilateral"
XaaLf,Bilateral profound sensorineural hearing loss
XaaLg,Bilateral congenital sensorineural hearing loss
F5917,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
F591y,Combined perceptive hearing loss
F591z,Perceptive hearing loss NOS
X00kP,High frequency deafness
X00kQ,Low frequency deafness
XE17O,Ototoxicity - deafness
XM1QG,Drug ototoxicity - deafness
F590.,Conductive hearing loss
F5900,Unspecified conductive hearing loss
F5901,Conductive hearing loss due to disorder of external ear
F5902,Conductive hearing loss due to disorder of tympanic membrane
F5903,Conductive hearing loss due to disorder of middle ear
F5904,Conductive hearing loss due to disorder of inner ear
F5905,"Conductive hearing loss, bilateral"
F5906,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side"
F590y,Combined conductive hearing loss
F590z,Conductive hearing loss NOS
F5812,Noise-induced hearing loss
XA06M,Noise-induced temporary threshold shift
XA06N,Noise-induced permanent threshold shift
XaRE4,Severe acquired hearing loss
XaRE5,Profound acquired hearing loss
XaRE3,Moderate acquired hearing loss
F582.,Unspecified sudden hearing loss
FyuU1,[X]Other specified hearing loss
Ub1SV,Voice associated with hearing loss
X00kX,Hearing loss associated with syndrome
F59y.,Other specified forms of hearing loss
Xabxq,Articulatory defect due to conductive hearing loss
Xa7SJ,Hearing for whisper impaired
XaAw4,Unable to hear whisper
Xa7SL,Hearing for conversational voice impaired
XaAw5,Unable to hear conversational voice
Xa7SN,Hearing for loud voice impaired
XaAw6,Unable to hear loud voice
Xa7SP,Hearing for voice impaired
XaAw3,Ability to hear voice abnormal
1C12.,Hearing difficulty
XaIxN,Difficulty hearing whispers
Xa0PZ,Difficulty hearing in noise
XaIxM,Difficulty hearing with background noise
XaYPJ,Combined visual and hearing impairment
X75qR,Bone conduction better than air
Xa0LP,Sound lateralised to affected ear
Xa0LQ,Sound lateralised to non-affected ear
XSGQi,Weber's test - sound lateralised to right
XSGQj,Weber's test - sound lateralised to left
Xa1Ip,Hearing worse
XaFo1,Deteriorating hearing
XM1X8,O/E - deaf
2BL2.,O/E - slightly deaf
2BL3.,O/E - significantly deaf
2BL4.,O/E - very deaf
2BL5.,O/E - completely deaf
XE17P,Deafness NOS
XaNDb,Registered deaf
A5602,Rubella deafness
F593.,"Deaf mutism, NEC"
1J2..,Suspected deafness
XacJE,Uses deafblind intervener
Ua0R8,Deaf-blind telephone user
Ua0R7,Deaf telephone user
F5802,Transient ischaemic deafness
2BM3.,O/E tune fork=perceptive deaf
X78CP,Hystrix ichthyosis with deafness
X77tB,Deafness due to congenital anomaly NEC
FyuU0,"[X]Deaf mutism, not elsewhere classified"
C3734,Amyloid nephropathy with deafness and urticaria
X30Li,Renal tubular acidosis with progressive nerve deafness
Ua1rb,Fit hearing aid
Xa0LN,Hearing aid worn
Xa2yX,Uses hearing aid
Xa1pl,Hearing aid provision
8D22.,Provide body worn hearing aid
XaZp4,Provision of replacement hearing aid
8D21.,Provide head worn hearing aid
XaPEU,[V]Bone anchored hearing aid in situ
ZV532,[V]Fitting or adjustment of hearing aid
XaAv6,Second stage bone anchored hearing aid procedure
X00h3,BAHA - Insertion of anchors for percutaneous bone anchored hearing aid
X00h2,Insertion of bone anchors for subcutaneous bone anchored hearing aid
