CTV3Codes,Description
XE0RK,Acute hepatitis B
X306n,Hepatitis B carrier
XE0TY,Hepatitis B infection
X306c,Acute hepatitis B with hepatitis D
A7020,Acute hepatitis B with delta agent (coinfection) with hepatic coma
A7030,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
X306d,Hepatitis D superinfection of hepatitis B carrier
A702.,Viral hepatitis B with coma
X306i,Chronic viral hepatitis B
A7071,Chronic viral hepatitis B without delta-agent
X306j,Chronic viral hepatitis B with hepatitis D
XaLow,History of hepatitis B
XaG1R,[V]Hepatitis B carrier
XaPEy,Hepatitis B screening positive
Q4091,Congenital hepatitis B infection
XaQe4,Hepatitis B core antibody positive
A703.,Viral serum hepatitis B
43B4.,Hepatitis B surface antigen positive
