MedCodeID,Description
8039281000006117,Hepatic coma due to acute hepatitis C
557071000006112,Chronic hepatitis C
4407011000006114,Chronic type C viral hepatitis
8046451000006115,Hepatic coma due to chronic hepatitis C
286868015,Viral hepatitis C with coma
353576014,Acute hepatitis C
5619351000006114,Congenital hepatitis C infection
8112141000006113,Chronic hepatitis C with stage 3 fibrosis
1680661000006114,Hepatitis C screening positive - enhanced services admin
683911000000119,Hepatitis C screening positive
6349691000006113,Polymerase chain reaction positive for hepatitis C viral ribonucleic acid genotype 1A
6349671000006112,PCR positive for hepatitis C viral RNA (genotype 1A)
6349681000006110,Polymerase chain reaction (PCR) positive for hepatitis C viral ribonucleic acid (genotype 1A)
7263471000006113,Hepatitis B and hepatitis C
3321231000006119,Type C viral hepatitis
3321251000006114,Viral hepatitis type C
286871011,Viral hepatitis C
84516016,Hepatitis C
7488491000006118,Hepatitis C virus subtype 1b
7488501000006114,Hepatitis C virus subtype 2a
7488511000006112,Hepatitis C virus subtype 2b
7488521000006116,Hepatitis C virus subtype 3a
7488531000006118,Hepatitis C virus subtype 3b
7488541000006111,Hepatitis C virus subtype 5a
7488561000006110,Hepatitis C virus subtype 4a
7488571000006115,Hepatitis C virus genotype 1
7488581000006117,Hepatitis C virus genotype 2
7488591000006119,Hepatitis C virus genotype 3
7488601000006110,Hepatitis C virus genotype 4
7488611000006113,Hepatitis C virus genotype 5
7488621000006117,Hepatitis C virus genotype 6
7488631000006119,Hepatitis C virus subtype 1c
7488641000006112,Hepatitis C virus subtype 2c
7488651000006114,Hepatitis C virus subtype 4b
7488661000006111,Hepatitis C virus subtype 4c
7488671000006116,Hepatitis C virus subtype 4d
7488681000006118,Hepatitis C virus subtype 4e
3523221000006115,Hepatitis C virus
3523231000006117,HCV - Hepatitis C virus
7568861000006119,Reactivation of hepatitis C viral hepatitis
7583121000006113,Chronic hepatitis C with stage 2 fibrosis
7629961000006118,Chronic active hepatitis C
7686921000006114,Polymerase chain reaction test for Hepatitis C positive
1739601000000111,Hepatitis C PCR positive
8234961000006111,Hepatitis C viral RNA PCR (ribonucleic acid polymerase chain reaction) positive
1766481000006112,Hepatitis C viral ribonucleic acid polymerase chain reaction positive
12061221000006116,Chronic hepatitis C caused by hepatitis C virus genotype 6
12061231000006118,Chronic hepatitis C caused by hepatitis C virus genotype 5
12064771000006114,Chronic hepatitis C caused by Hepatitis C virus genotype 3
12066921000006115,Chronic hepatitis C caused by Hepatitis C virus genotype 2
12066931000006117,Chronic hepatitis C caused by Hepatitis C virus genotype 4
12066941000006110,Chronic hepatitis C caused by Hepatitis C virus genotype 1
12070031000006113,Chronic hepatitis C caused by Hepatitis C virus genotype 1b
12070041000006115,Chronic hepatitis C caused by Hepatitis C virus genotype 1a
2146441000000113,Hepatitis C genotype 1
2146461000000114,Hepatitis C genotype 2
2146501000000114,Hepatitis C genotype 3
2146521000000117,Hepatitis C genotype 4
2146541000000112,Hepatitis C genotype 5
2146561000000113,Hepatitis C genotype 6
12618221000006116,Hepatitis C screening - infected with hepatitis C virus
2157051000000119,On hepatitis C treatment plan
7966991000006113,Chronic hepatitis C with stage 4 fibrosis
7966981000006110,Cirrhosis of liver due to chronic hepatitis C
8368011000006115,Hepatitis C virus-associated cryoglobulinaemic vasculitis
8368021000006111,Hepatitis C cryoglobulinaemic vasculitis
1783609017,Hepatitis C virus genotype
