SNOMEDCTCodes,Description
50711007,Viral hepatitis type C (disorder)
235866006,Acute hepatitis C (disorder)
128302006, Chronic hepatitis C (disorder)
708198006,Chronic active hepatitis C (disorder)
768127002,Chronic hepatitis C caused by Hepatitis C virus genotype 1 (disorder)
768289009,Chronic hepatitis C caused by Hepatitis C virus genotype 1a (disorder)
768288001,Chronic hepatitis C caused by Hepatitis C virus genotype 1b (disorder)
768125005,Chronic hepatitis C caused by Hepatitis C virus genotype 2 (disorder)
768006009,Chronic hepatitis C caused by Hepatitis C virus genotype 3 (disorder)
768126006,Chronic hepatitis C caused by Hepatitis C virus genotype 4 (disorder)
767810006,Chronic hepatitis C caused by hepatitis C virus genotype 5 (disorder)
767809001,Chronic hepatitis C caused by hepatitis C virus genotype 6 (disorder)
838377003,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection (disorder)
703866000,Chronic hepatitis C with stage 2 fibrosis (disorder)
442374005,Hepatitis B and hepatitis C (disorder)
838380002,Chronic hepatitis B co-occurrent with hepatitis C and hepatitis D (disorder)
824841000000105,Hepatitis C genotype 1 (disorder)
824851000000108,Hepatitis C genotype 2 (disorder)
824871000000104,Hepatitis C genotype 3 (disorder)
824881000000102,Hepatitis C genotype 4 (disorder)
824891000000100,Hepatitis C genotype 5 (disorder)
824901000000104,Hepatitis C genotype 6 (disorder)
702969000,Reactivation of hepatitis C viral hepatitis (disorder)
1197150002,Recurrent hepatitis C virus induced liver disease following liver transplant (disorder)
62944002,Hepatitis C virus (organism)
603422006,Hepatitis C virus genotype 1 (organism)
603414004, Hepatitis C virus subtype 1b (organism)
603428005, Hepatitis C virus subtype 1c (organism)
603423001,Hepatitis C virus genotype 2 (organism)
603415003,Hepatitis C virus subtype 2a (organism)
603416002, Hepatitis C virus subtype 2b (organism)
603429002, Hepatitis C virus subtype 2c (organism)
603424007,Hepatitis C virus genotype 3 (organism)
603417006,Hepatitis C virus subtype 3a (organism)
603418001,Hepatitis C virus subtype 3b (organism)
603425008,Hepatitis C virus genotype 4 (organism)
781245007,Hepatitis C virus genotype 4h (organism)
603421004,Hepatitis C virus subtype 4a (organism)
603430007,Hepatitis C virus subtype 4b (organism)
603431006,Hepatitis C virus subtype 4c (organism)
603432004,Hepatitis C virus subtype 4d (organism)
603433009,Hepatitis C virus subtype 4e (organism)
603426009,Hepatitis C virus genotype 5 (organism)
603419009,Hepatitis C virus subtype 5a (organism)
603427000,Hepatitis C virus genotype 6 (organism)
812181000000106,Hepatitis C antigen positive (finding)
186628001,Hepatic coma due to viral hepatitis C (disorder)
125921000119106,Hepatic coma due to acute hepatitis C (disorder)
146371000119104,Hepatic coma due to chronic hepatitis C (disorder)
829731000000106,On hepatitis C treatment plan (finding)
174156691000119104,Hepatitis C treatment declined (situation)
362751000000101,Hepatitis C screening positive (finding)
278929008,Congenital hepatitis C infection (disorder)
831000119103,Cirrhosis of liver due to chronic hepatitis C (disorder)
711331006, Hepatitis C detected by polymerase chain reaction (finding)
371140008,Hepatitis C viral ribonucleic acid genotype 1A detected by polymerase chain reaction (finding)
82611000000107,Hepatitis C screening - infected with hepatitis C virus (finding)
988111000000106,Cryoglobulinaemic vasculitis co-occurrent and due to Hepatitis C virus infection (disorder)
760421000000100, Hepatitis C viral ribonucleic acid polymerase chain reaction positive (finding)
347891000119103, Chronic hepatitis C with stage 3 fibrosis (disorder)
