MedCodeID,Description
18585010,Herpes zoster iridocyclitis
8466101000006110,Herpes zoster scleritis
4200591000006110,Herpes zoster without complication
822321000006112,Herpes zoster with other CNS complication NOS
395349015,Herpes zoster with nervous system complication
822331000006110,Herpes zoster with other CNS complications
7996341000006118,Cranial neuropathy due to Herpes zoster
7996361000006119,Herpes zoster with secondary bacterial infection
7996371000006114,Bacterial infection co-occurrent and due to herpes zoster
7996391000006110,Pneumonitis due to Herpes zoster
9871621000006119,Keratitis of right eye due to herpes zoster
9871631000006116,Keratitis of left eye due to herpes zoster
297557016,Polyneuropathy in herpes zoster
481174015,Herpes zoster otitis externa
2849211000006119,HZO - Herpes zoster oticus
2849191000006115,Herpes zoster oticus
36819018,Geniculate herpes zoster
191651000006117,Ramsay Hunt syndrome
2849201000006117,Herpes zoster cephalicus
778951000006117,Infective otitis externa due to herpes zoster
2849241000006115,Ramsay Hunt syndrome - auricular
2849161000006111,Herpes zoster auricularis
2849251000006118,Postherpetic geniculate ganglionitis
2849181000006118,Herpetic geniculate ganglionitis
822201000006110,Herpes zoster - otitis externa
2849261000006116,Ramsay Hunt syndrome 2
2849221000006110,Geniculate herpes zoster infection
5005461000006111,Amyotrophy due to herpes zoster
5005471000006116,Amyotrophy caused by herpes zoster
5009201000006111,Acute trigeminal herpes zoster
5035791000006119,Acute herpes zoster pharyngitis
5074551000006118,Herpes zoster infection of oral mucosa
5148171000006119,Thoracic herpes zoster infection
5148181000006116,Lumbar herpes zoster infection
5148191000006118,Maxillary herpes zoster infection
5148201000006115,Mandibular herpes zoster infection
5148221000006113,HZV - Multidermatomal herpes zoster virus
5148211000006117,Multidermatomal herpes zoster infection
8106411000006118,Herpes zoster iritis
3085011000006114,Otitis externa caused by Herpes zoster
3085001000006111,Otitis externa due to Herpes zoster
6589131000006113,Herpes zoster keratitis
6589141000006115,HZV keratitis
6633331000006112,Herpes zoster dermatitis
6671471000006115,Cervical herpes zoster
6671461000006110,Herpes zoster involving cervical dermatome
6671481000006117,Herpes zoster involving sacral dermatome
6671491000006119,Sacral herpes zoster
6798391000006117,Herpes zoster involving tip of nose
1139251000000118,Hutchinson's sign
1139221000000111,Hutchinson's sign - herpes zoster involving nose tip
6798381000006115,Hutchinson sign
6798531000006110,Herpes zoster conjunctivitis
6964781000006118,Herpes zoster retinitis
6984241000006118,Herpes zoster associated with acquired immunodeficiency syndrome
6984231000006111,Herpes zoster associated with AIDS
6989941000006111,Herpes zoster subepithelial infiltrates
6990471000006119,Herpes zoster acute retinal necrosis
7011021000006112,Acute herpes zoster neuropathy
7024711000006112,Corneal haze due to herpes zoster
7024721000006116,Corneal haze caused by herpes zoster
7026321000006113,Herpes zoster pseudodendrites
3184411000006110,Herpes zoster keratoconjunctivitis
1229869010,Herpes zoster with keratoconjunctivitis
7033241000006115,Herpes zoster corneal endothelioitis
7033231000006113,Herpes zoster corneal endotheliitis
7033251000006118,Herpes zoster corneal endothelialitis
7035711000006111,Herpes zoster radiculitis
7043011000006113,Herpes zoster retinal pigment epithelial detachment
7061071000006112,Herpes zoster interstitial keratitis
7091281000006117,Exanthem due to herpes zoster
7091301000006118,Exanthem caused by shingles
7091291000006119,Exanthem due to shingles
7091311000006115,Exanthem caused by herpes zoster
2574471000006111,Zoster
288153012,[X]Zoster with other complications
8904017,Shingles
288154018,[X]Zoster without complications
8902018,Herpes zoster infection
2574451000006118,Zona
286723017,Herpes zoster
8211061000006118,History of shingles
8211051000006115,History of herpes zoster
7708571000006111,Infection caused by herpes zoster virus co-occurrent with human immunodeficiency virus infection
7708581000006114,Herpes zoster infection co-occurrent with human immunodeficiency virus infection
7712021000006115,Multidermatomal infection caused by Herpes zoster co-occurrent with human immunodeficiency virus infection
3922471000006119,Zoster ophthalmicus
44081000006115,Ophthalmic herpes zoster infection
145090014,Herpes zoster ophthalmicus
3922451000006112,Herpes zoster with ophthalmic complications
988701000006119,Ophthalmic herpes zoster
3922461000006114,Zoster ocular disease
8031011000006118,Herpes zoster myelitis
879141000006110,Ophthalmic herpes zoster
286714015,Herpes zoster with ophthalmic complication
286715019,Herpes zoster with dermatitis of eyelid
286717010,Herpes zoster with other ophthalmic complication
286718017,Herpes zoster with complication
625341000006116,Disseminated herpes zoster
286721015,Herpes zoster with other specified complication NOS
286722010,Herpes zoster with unspecified complications
879151000006112,Other herpes zoster
1219080012,Herpes zoster meningitis
706441000006117,Herpes zoster with meningitis
18244018,Herpes zoster with meningitis
217001000006117,Post-herpetic neuralgia
211241000006115,Postherpetic trigeminal neuralgia
211231000006113,Post-herpetic polyneuropathy
344957015,Zoster encephalitis
4765019,Postherpetic neuralgia
212551000006110,Post-zoster neuralgia
