ICD10Codes,Description
W00,Fall on same level involving ice and snow
W01,"Fall on same level from slipping, tripping and stumbling"
W03,"Other fall on same level due to collision with, or pushing by, another person"
W04,Fall while being carried or supported by other persons
W05,Fall involving wheelchair
W06,Fall involving bed
W07,Fall involving chair
W08,Fall involving other furniture
W10,Fall on and from stairs and steps
W18,Other fall on same level
W19,Unspecified fall
R29.6,"Tendency to fall, not elsewhere classified"
V81.6,Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle
