SNOMEDCTCodes,Description
66999008,Hyperparathyroidism (disorder)
29326002,Ectopic hyperparathyroidism (disorder)
237830009,Ectopic parathyroid hormone-related protein secretion (disorder)
363627009,Parathyromatosis (disorder)
361128007,Hyperparathyroidism caused by lithium therapy (disorder)
78625002,Hyperparathyroidism due to intestinal malabsorption (disorder)
254119005,Neonatal hyperparathyroidism (disorder)
715218009,Neonatal severe primary hyperparathyroidism (disorder)
389201004,Transient neonatal hyperparathyroidism (disorder)
36348003,Primary hyperparathyroidism (disorder)
237653008,Familial primary hyperparathyroidism (disorder)
786037006,Familial isolated hyperparathyroidism (disorder)
702378002,Hyperparathyroidism-jaw tumor syndrome (disorder)
190045361000119101,Normocalcemic primary hyperparathyroidism (disorder)
9092004,Parathyroid hyperplasia (disorder)
724093004,"Nephropathy, deafness, hyperparathyroidism syndrome (disorder)"
32463001,Primary water-clear cell hyperplasia (disorder)
91478007,Secondary hyperparathyroidism (disorder)
19034001,Hyperparathyroidism due to renal insufficiency (disorder)
16218721000119107,Hyperparathyroidism due to end stage renal disease on dialysis (disorder)
47445009,Hyperparathyroidism due to vitamin D deficiency (disorder)
89471000119102,Secondary hyperparathyroidism of nonrenal origin (disorder)
78200003,Tertiary hyperparathyroidism (disorder)
203471008,Brown tumor of hyperparathyroidism (disorder)
240090006,Myopathy in hyperparathyroidism (disorder)
403417001,Calcifying panniculitis due to hyperparathyroidism (disorder)
403418006,Calcifying panniculitis due to hyperparathyroidism in renal disease (disorder)
